RK,NAME,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
264,D'Ernest Johnson JAX,12,9,15,85,9.4,0,26,2,7.1,0,0,85,3
264,Ryan Flournoy DAL,9,7,10,85,12.1,0,26,1,9.4,1,1,32,4
266,Trey Sermon IND,15,14,15,84,6.0,0,14,0,5.6,0,0,88,3
267,Trent Sherfield Sr. MIN,15,8,9,83,10.4,1,17,0,5.5,0,0,40,4
267,Nate Adkins DEN,15,10,11,83,8.3,3,16,0,5.5,0,0,48,5
269,Cordarrelle Patterson PIT,11,12,14,80,6.7,1,20,1,7.3,0,0,56,5
269,Eric Saubert SF,15,7,9,80,11.4,1,20,1,5.3,0,0,32,3
269,Bryce Oliver TEN,8,5,6,80,16.0,0,33,1,10.0,0,0,24,3
272,Isiah Pacheco KC,6,12,16,79,6.6,0,23,1,13.2,0,0,119,4
273,Derius Davis LAC,13,10,14,78,7.8,1,19,0,6.0,0,0,106,4
273,Eric Gray NYG,15,9,10,78,8.7,0,19,0,5.2,0,0,99,3
275,Alec Ingold MIA,13,9,10,75,8.3,0,25,1,5.8,0,0,49,3
275,Devin Duvernay JAX,11,10,15,75,7.5,0,28,1,6.8,0,0,62,6
277,Hayden Hurst LAC,8,8,13,73,9.1,0,27,1,9.1,0,0,20,2
277,Bo Melton GB,14,5,12,73,14.6,0,28,1,5.2,0,0,6,4
279,DeAndre Carter CHI,13,9,14,72,8.0,0,14,0,5.5,0,0,32,3
280,Brandon Powell MIN,15,7,10,71,10.1,0,13,0,4.7,0,0,12,5
280,Tyler Allgeier ATL,15,11,11,71,6.5,0,13,0,4.7,0,0,80,2
282,John Bates WSH,15,7,11,70,10.0,0,20,1,4.7,1,1,44,2
283,Ezekiel Elliott DAL,14,12,15,69,5.8,0,15,0,4.9,0,0,97,3
283,Scotty Miller PIT,12,5,9,69,13.8,0,21,2,5.8,0,0,33,2
283,Ben Skowronek PIT,9,5,5,69,13.8,0,23,1,7.7,0,0,29,4
286,Chris Brooks GB,12,10,11,67,6.7,0,15,0,5.6,0,0,92,2
286,Ashton Dulin IND,13,2,8,67,33.5,1,54,1,5.2,0,0,43,2
286,Isaiah Davis NYJ,15,8,11,67,8.4,1,24,1,4.5,0,0,62,4
289,Michael Burton DEN,15,10,10,65,6.5,1,28,1,4.3,0,0,41,3
290,Luke Farrell JAX,15,11,16,63,5.7,0,11,0,4.2,0,0,29,4
290,Payne Durham TB,14,7,9,63,9.0,0,26,1,4.5,1,0,10,2
292,Michael Woods II CLE,4,6,14,62,10.3,0,16,0,15.5,0,0,35,4
292,Kimani Vidal LAC,8,5,7,62,12.4,1,38,1,7.8,0,0,37,2
292,Jalin Hyatt NYG,14,8,18,62,7.8,0,19,0,4.4,0,0,6,3
295,Pharaoh Brown SEA,13,7,11,61,8.7,0,17,0,4.7,0,0,25,2
296,Hunter Long LAR,15,7,9,60,8.6,0,18,0,4.0,0,0,30,2
296,Jaleel McLaughlin DEN,14,20,23,60,3.0,2,11,0,4.3,1,1,135,3
298,JaMycal Hasty NE,14,10,12,59,5.9,1,16,0,4.2,0,0,72,2
298,Trey Benson ARI,13,6,6,59,9.8,0,19,0,4.5,0,0,78,3
300,K.J. Osborn NE,7,7,18,57,8.1,1,22,1,8.1,0,0,16,2
301,Tyler Goodson IND,14,10,13,56,5.6,1,24,1,4.0,0,0,64,3
302,Odell Beckham Jr. MIA,9,9,18,55,6.1,0,11,0,6.1,0,0,14,3
303,Durham Smythe MIA,15,9,16,53,5.9,0,8,0,3.5,0,0,16,1
304,Tank Bigsby JAX,14,6,10,51,8.5,0,28,1,3.6,0,0,57,1
305,Jacob Cowing SF,13,2,4,50,25.0,0,41,1,3.8,0,0,16,1
306,Cam Akers HOU/MIN,15,10,13,49,4.9,2,9,0,3.3,0,0,50,2
307,Jamison Crowder WSH,4,6,8,47,7.8,2,12,0,11.8,0,0,8,3
307,Tyquan Thornton NE,6,4,8,47,11.8,0,17,0,7.8,0,0,24,2
309,D'Onta Foreman CLE,9,5,5,46,9.2,0,16,0,5.1,0,0,42,1
309,Dante Pettis NO,5,5,11,46,9.2,0,12,0,9.2,0,0,20,3
309,Blake Corum LAR,15,6,7,46,7.7,0,12,0,3.1,0,0,54,4
309,Emanuel Wilson GB,14,9,12,46,5.1,1,30,1,3.3,0,0,86,3
313,Hollywood Brown KC,1,5,8,45,9.0,0,20,1,45.0,0,0,35,2
314,Cody White SEA,4,2,3,44,22.0,0,28,1,11.0,0,0,13,2
315,Ty Chandler MIN,15,6,6,42,7.0,0,10,0,2.8,0,0,53,2
315,Jordan Mims NO,9,4,7,42,10.5,0,25,1,4.7,0,0,44,2
315,Blake Whiteheart CLE,9,4,7,42,10.5,1,29,1,4.7,0,0,4,2
315,Ben Sims GB,14,4,5,42,10.5,0,28,1,3.0,0,0,16,1
319,Malik Heath GB,11,6,7,41,6.8,1,12,0,3.7,0,0,10,3
320,MyCole Pruitt PIT,10,6,10,40,6.7,1,18,0,4.0,0,0,16,2
320,Charlie Woerner ATL,14,6,11,40,6.7,0,13,0,2.9,0,0,21,3
320,Austin Trammell JAX,1,2,3,40,20.0,0,22,1,40.0,0,0,9,2
323,Hassan Haskins LAC,15,2,2,39,19.5,1,34,1,2.6,0,0,36,1
323,Davis Allen LAR,13,6,12,39,6.5,0,13,0,3.0,0,0,21,2
323,Xavier Gipson NYJ,15,6,10,39,6.5,1,17,0,2.6,0,0,22,3
326,Jamaal Williams NO,11,7,9,38,5.4,0,13,0,3.5,0,0,39,2
327,Tip Reiman ARI,15,6,7,37,6.2,0,14,0,2.5,0,0,29,1
327,Sione Vaki DET,14,3,3,37,12.3,0,17,0,2.6,0,0,20,2
329,Gerald Everett CHI,15,8,12,36,4.5,0,17,0,2.4,0,0,41,1
329,Dee Eskridge MIA,5,2,2,36,18.0,0,30,1,7.2,0,0,18,2
329,Laviska Shenault Jr. LAC/SEA,12,5,5,36,7.2,0,18,0,3.0,0,0,46,2
332,Britain Covey PHI,5,7,8,34,4.9,0,11,0,6.8,0,0,28,2
332,Divine Deablo LV,12,1,1,34,34.0,0,34,1,2.8,0,0,30,1
332,Treylon Burks TEN,5,4,8,34,8.5,0,13,0,6.8,0,0,5,3
335,Connor Heyward PIT,15,5,7,32,6.4,1,16,0,2.1,0,0,7,2
336,Nick Chubb CLE,8,5,11,31,6.2,1,19,0,3.9,0,0,31,3
336,Alex Bachman LV,6,3,3,31,10.3,0,18,0,5.2,0,0,10,2
336,Tucker Fisk LAC,7,6,7,31,5.2,0,10,0,4.4,0,0,18,1
339,Parris Campbell PHI,5,6,8,30,5.0,1,7,0,6.0,0,0,9,1
339,Michael Carter ARI,1,5,5,30,6.0,0,18,0,30.0,0,0,35,2
339,Tim Jones JAX,15,2,4,30,15.0,0,20,1,2.0,0,0,17,2
339,Zamir White LV,8,6,8,30,5.0,0,14,0,3.8,0,0,50,2
343,Dan Chisena CAR,4,2,3,29,14.5,0,23,1,7.3,0,0,9,1
343,Will Mallory IND,10,4,8,29,7.3,0,10,0,2.9,0,0,4,1
343,Sincere McCormick LV,5,6,7,29,4.8,0,15,0,5.8,0,0,29,2
346,Greg Dulcich DEN/NYG,7,5,12,28,5.6,0,9,0,4.0,0,0,15,0
346,Scott Matlock LAC,15,4,5,28,7.0,0,10,0,1.9,0,0,23,1
346,Ben Sinnott WSH,15,5,5,28,5.6,1,12,0,1.9,0,0,19,2
349,Kenny Yeboah NYJ,7,3,4,27,9.0,1,12,0,3.9,0,0,27,2
349,David Bell CLE,2,3,3,27,9.0,0,12,0,13.5,0,0,8,1
351,Peyton Hendershot KC,5,3,3,26,8.7,0,11,0,5.2,0,0,15,1
352,DJ Chark Jr. LAC,5,3,3,25,8.3,0,12,0,5.0,0,0,7,0
353,Carson Steele KC,15,5,9,24,4.8,0,9,0,1.6,0,0,35,0
354,Anthony Gould IND,6,1,1,23,23.0,0,23,1,3.8,0,0,5,1
354,Jonathon Brooks CAR,3,3,3,23,7.7,0,18,0,7.7,0,0,31,2
356,Jeremy McNichols WSH,15,7,9,22,3.1,0,10,0,1.5,0,0,26,0
356,Ronnie Bell SF,9,2,6,22,11.0,0,12,0,2.4,0,0,2,2
