RK,NAME,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS,LNG,TD,FF,FR,FTD
82,Taylor Rapp BUF,12,42,33,75,0.0,0,2,6,2,5,5,0,1,0,0
82,Tony Adams NYJ,13,37,38,75,1.0,0,2,6,1,0,0,0,0,0,0
82,Xavier McKinney GB,14,50,25,75,1.0,8,2,9,7,111,48,0,0,1,0
82,Reed Blankenship PHI,14,51,24,75,0.0,0,0,6,4,29,28,0,0,1,0
82,Christian Izien TB,14,48,27,75,0.0,0,4,3,1,17,17,0,1,0,0
87,Javon Bullard GB,13,50,24,74,0.0,0,1,1,0,0,0,0,0,0,0
88,A'Shawn Robinson CAR,14,42,31,73,5.5,46,8,1,0,0,0,0,1,0,0
88,Devin Bush CLE,15,42,31,73,1.0,2,5,3,0,0,0,0,0,0,0
88,Jason Pinnock NYG,14,42,31,73,3.0,13,4,1,0,0,0,0,0,0,0
91,Chamarri Conner KC,14,55,17,72,1.0,9,4,4,2,32,29,0,1,1,1
91,Trenton Simpson BAL,15,40,32,72,1.5,13,5,4,0,0,0,0,0,1,0
91,Tyrice Knight SEA,14,36,36,72,1.0,6,3,2,0,0,0,0,0,1,0
94,Jordan Hicks CLE,11,38,33,71,2.0,7,4,4,0,0,0,0,0,0,0
94,Amani Hooker TEN,14,47,24,71,0.0,0,4,9,5,68,30,0,2,0,0
94,Byron Murphy Jr. MIN,15,54,17,71,0.0,0,5,13,6,2,2,0,1,0,0
94,Elijah Molden LAC,14,41,30,71,0.0,0,2,7,3,28,25,0,0,2,0
94,Kerby Joseph DET,15,49,22,71,0.0,0,1,10,7,60,33,1,0,0,0
94,Riley Moss DEN,12,53,18,71,0.0,0,1,8,1,0,0,0,1,1,0
94,Martin Emerson Jr. CLE,15,56,15,71,0.0,0,3,5,0,0,0,0,1,1,0
94,Ja'Quan McMillian DEN,15,52,19,71,1.0,14,3,9,2,44,44,1,1,0,0
102,Anfernee Jennings NE,14,39,31,70,2.5,13,6,0,0,0,0,0,1,0,0
102,Pete Werner NO,11,45,25,70,0.0,0,3,1,0,0,0,0,0,0,0
102,Bryan Cook KC,15,51,19,70,0.0,0,1,5,2,0,0,0,0,0,0
102,Zyon McCollum TB,15,46,24,70,0.0,0,1,12,2,4,4,0,0,1,0
102,Keisean Nixon GB,14,45,25,70,2.0,14,5,6,1,16,16,0,2,0,0
102,Kyle Dugger NE,11,47,23,70,1.0,4,8,4,0,0,0,0,1,0,0
102,Dee Alford ATL,14,53,17,70,1.0,4,1,10,0,0,0,0,1,0,0
102,Ji'Ayir Brown SF,15,45,25,70,0.0,0,3,5,1,0,0,0,0,0,0
110,Andrew Van Ginkel MIN,15,45,24,69,11.0,73,17,5,2,73,63,2,1,0,0
110,Kamren Curl LAR,15,44,25,69,1.0,10,1,8,0,0,0,0,2,1,1
112,Anthony Walker Jr. MIA,14,34,34,68,1.0,0,0,2,1,5,5,0,0,0,0
112,Azeez Al-Shaair HOU,10,45,23,68,2.0,2,7,4,0,0,0,0,2,0,0
112,Jaycee Horn CAR,15,49,19,68,2.0,27,5,13,1,0,0,0,0,0,0
115,Justin Strnad DEN,15,43,24,67,3.0,8,7,3,0,0,0,0,0,0,0
115,Mack Wilson Sr. ARI,14,40,27,67,3.0,20,4,4,1,0,0,0,0,1,0
115,Kenny Moore II IND,13,44,23,67,0.5,5,4,7,3,28,12,0,0,1,1
115,Cam Taylor-Britt CIN,15,50,17,67,0.5,3,1,15,3,79,51,1,0,0,0
115,Tyrique Stevenson CHI,14,45,22,67,0.0,0,1,11,2,43,43,1,1,0,0
115,Antonio Johnson JAX,15,50,17,67,0.0,0,1,1,0,0,0,0,0,0,0
115,Malik Mustapha SF,14,27,40,67,0.0,0,2,5,1,1,1,0,0,0,0
122,Cameron Heyward PIT,15,33,33,66,8.0,62,11,8,0,0,0,0,0,0,0
122,Malik Hooker DAL,15,40,26,66,0.0,0,1,4,2,20,21,0,0,0,0
122,Harold Landry III TEN,15,37,29,66,8.0,37,13,4,0,0,0,0,0,0,0
122,Cam Lewis BUF,15,47,19,66,0.0,0,2,4,1,0,0,0,0,0,0
122,Jeffery Simmons TEN,14,37,29,66,5.0,35,11,4,0,0,0,0,2,2,0
122,K.J. Britt TB,12,35,31,66,0.5,5,0,1,0,0,0,0,0,0,0
122,Nate Landman ATL,11,31,35,66,0.0,0,0,0,0,0,0,0,3,0,0
129,Michael Jackson CAR,15,51,14,65,0.0,0,1,14,1,1,1,0,0,0,0
129,P.J. Locke DEN,13,44,21,65,1.0,10,3,2,0,0,0,0,1,0,0
129,Jalen Pitre HOU,12,44,21,65,0.0,0,6,8,1,10,10,0,1,0,0
129,Montaric Brown JAX,15,48,17,65,0.0,0,6,7,1,0,0,0,0,0,0
129,Kyler Gordon CHI,13,41,24,65,0.5,4,3,4,0,0,0,0,0,2,0
129,Jarvis Brownlee Jr. TEN,15,42,23,65,0.0,0,7,8,1,2,2,0,0,0,0
135,Akeem Davis-Gaither CIN,15,30,34,64,0.0,0,2,4,1,12,12,0,0,0,0
135,Brandon Stephens BAL,15,53,11,64,1.5,4,3,9,0,0,0,0,0,0,0
135,Payton Wilson PIT,15,38,26,64,0.0,0,2,2,1,0,0,0,0,2,1
135,Joey Porter Jr. PIT,15,47,17,64,0.0,0,2,6,1,16,16,0,0,0,0
135,Trevin Wallace CAR,13,36,28,64,1.0,8,2,0,0,0,0,0,2,1,0
140,Benjamin St-Juste WSH,15,50,13,63,0.0,0,0,7,0,0,0,0,1,1,0
140,Jared Verse LAR,15,34,29,63,4.5,45,11,2,0,0,0,0,2,2,0
142,Eric Murray HOU,15,42,20,62,1.0,14,1,10,1,0,0,0,0,0,0
142,Mike Hilton CIN,14,43,19,62,0.0,0,12,4,1,0,0,0,0,0,0
142,Jack Jones LV,15,49,13,62,0.0,0,3,12,2,53,29,1,0,0,0
142,Christian Elliss NE,14,35,27,62,1.5,14,1,4,1,6,6,0,1,1,0
142,Christian Benford BUF,14,48,14,62,1.0,8,3,9,1,6,6,0,2,1,0
147,Jourdan Lewis DAL,14,34,27,61,1.0,10,3,7,1,0,0,0,1,1,0
147,Chuck Clark NYJ,11,36,25,61,1.0,8,1,2,0,0,0,0,1,1,0
147,Taron Johnson BUF,11,38,23,61,1.0,1,1,5,2,23,23,1,1,1,1
147,Grover Stewart IND,15,26,35,61,3.5,11,8,3,0,0,0,0,1,1,0
147,A.J. Terrell ATL,15,46,15,61,0.0,0,2,5,2,1,1,0,0,0,0
147,Kobie Turner LAR,15,34,27,61,7.0,57,9,4,0,0,0,0,1,1,0
147,Jeremiah Owusu-Koramoah CLE,8,39,22,61,3.0,14,10,3,1,0,0,0,1,0,0
147,Dru Phillips NYG,12,38,23,61,1.0,5,7,0,0,0,0,0,2,0,0
155,Antoine Winfield Jr. TB,9,34,26,60,2.0,11,2,3,0,0,0,0,0,1,1
155,Brian Burns NYG,15,36,24,60,8.0,72,14,8,0,0,0,0,2,0,0
155,Coby Bryant SEA,15,41,19,60,0.0,0,1,5,3,87,69,1,1,0,0
155,Andre Cisco JAX,15,38,22,60,0.0,0,0,7,1,22,22,0,0,0,0
159,Mike Hughes ATL,13,47,12,59,0.0,0,3,6,0,0,0,0,0,0,0
159,Ivan Pace Jr. MIN,9,31,28,59,3.0,14,6,0,0,0,0,0,0,1,1
159,Edgerrin Cooper GB,11,37,22,59,3.5,33,7,4,1,22,22,0,1,1,0
159,Mohamoud Diabate CLE,11,29,30,59,0.0,0,5,3,0,0,0,0,0,0,0
163,T.J. Watt PIT,15,39,19,58,11.5,80,18,3,0,0,0,0,6,2,0
163,Jamel Dean TB,11,44,14,58,0.0,0,0,6,1,0,0,0,1,0,0
163,C.J. Gardner-Johnson PHI,15,34,24,58,0.0,0,2,10,4,22,15,0,1,0,0
163,Marcus Jones NE,14,48,10,58,0.0,0,1,10,1,35,35,0,0,1,0
163,Ar'Darius Washington BAL,15,41,17,58,1.0,7,5,7,2,33,32,0,1,0,0
163,Christian Gonzalez NE,15,49,9,58,0.0,0,1,11,2,2,2,0,0,1,1
169,Adam Butler LV,15,32,25,57,3.5,27,7,2,0,0,0,0,0,0,0
170,Alex Anzalone DET,9,40,16,56,1.0,8,7,4,0,0,0,0,0,0,0
170,Jalen Ramsey MIA,15,36,20,56,1.0,12,5,9,2,7,7,0,0,0,0
170,Marlon Humphrey BAL,14,42,14,56,0.5,3,4,13,6,37,37,1,1,0,0
170,Carlton Davis III DET,13,42,14,56,0.0,0,2,11,2,0,0,0,1,2,0
174,Denzel Perryman LAC,11,39,16,55,1.0,7,2,0,0,0,0,0,0,0,0
174,Davon Godchaux NE,15,19,36,55,0.0,0,1,1,0,0,0,0,0,0,0
174,Rasul Douglas BUF,13,40,15,55,0.0,0,5,5,0,0,0,0,1,0,0
174,Trent McDuffie KC,15,41,14,55,0.5,0,6,12,2,0,0,0,0,0,0
178,Leonard Williams SEA,14,28,26,54,7.0,52,12,3,1,92,92,1,0,0,0
178,D.J. Reed NYJ,12,43,11,54,1.0,8,3,10,0,0,0,0,0,0,0
178,Jerome Baker SEA/TEN,8,30,24,54,1.0,0,2,2,0,0,0,0,1,1,0
178,Travon Walker JAX,15,28,26,54,8.5,80,11,1,0,0,0,0,1,1,1
178,Leo Chenal KC,15,38,16,54,1.0,0,4,3,0,0,0,0,3,0,0
178,Renardo Green SF,15,37,17,54,0.0,0,0,9,1,20,20,0,1,0,0
178,Omar Speights LAR,15,31,23,54,0.0,0,2,2,0,0,0,0,0,0,0
185,Zach Allen DEN,14,30,23,53,5.0,22,13,1,0,0,0,0,0,0,0
185,DaVon Hamilton JAX,15,29,24,53,0.0,0,5,0,0,0,0,0,0,0,0
185,Jevon Holland MIA,13,37,16,53,1.0,12,2,3,0,0,0,0,1,0,0
188,Tyrann Mathieu NO,14,38,14,52,0.0,0,1,6,3,29,23,0,2,1,0
188,Jonathan Jones NE,15,37,15,52,0.0,0,0,6,0,0,0,0,2,0,0
188,DeForest Buckner IND,10,24,28,52,6.5,62,8,1,0,0,0,0,0,0,0
188,Vonn Bell CIN,15,22,30,52,0.0,0,1,2,1,32,32,0,1,1,0
188,Jonathan Greenard MIN,15,36,16,52,11.0,99,16,2,0,0,0,0,4,0,0
188,Divine Deablo LV,12,32,20,52,1.0,13,3,2,0,0,0,0,0,0,0
188,Jonathon Cooper DEN,15,29,23,52,8.0,40,9,1,0,0,0,0,1,0,0
188,Paulson Adebo NO,7,43,9,52,0.0,0,1,10,3,68,47,0,0,0,0
188,Keion White NE,15,28,24,52,5.0,25,7,5,0,0,0,0,2,0,0
188,Jordan Battle CIN,15,32,20,52,0.0,0,1,3,1,0,0,0,0,1,0
188,Terrion Arnold DET,14,40,12,52,0.0,0,0,9,0,0,0,0,0,1,0
188,Byron Young LAR,15,28,24,52,6.0,44,11,1,0,0,0,0,1,0,0
200,Rayshawn Jenkins SEA,11,33,18,51,1.0,16,1,0,0,0,0,0,0,1,1
200,Charvarius Ward SF,11,35,16,51,0.0,0,1,7,0,0,0,0,0,0,0
200,Zaven Collins ARI,15,30,21,51,4.0,33,6,1,0,0,0,0,1,0,0
200,Tarheeb Still LAC,12,36,15,51,0.5,5,0,10,4,85,61,1,0,0,0
200,Kamari Lassiter HOU,12,38,13,51,0.0,0,3,10,3,9,9,0,0,0,0
205,Justin Simmons ATL,14,27,23,50,0.0,0,2,7,2,0,0,0,0,0,0
205,Kendall Fuller MIA,11,37,13,50,0.0,0,1,7,0,0,0,0,0,1,0
205,Neville Hewitt HOU,15,27,23,50,0.0,0,0,3,1,45,45,0,2,0,0
205,Will Harris NO,10,34,16,50,0.0,0,2,4,1,7,7,0,0,0,0
205,Carl Granderson NO,14,32,18,50,5.5,32,8,3,0,0,0,0,1,0,0
205,Malik Harrison BAL,13,21,29,50,2.0,8,3,0,0,0,0,0,0,0,0
205,Greg Rousseau BUF,15,35,15,50,7.5,44,16,2,0,0,0,0,3,1,0
205,Derek Stingley Jr. HOU,15,36,14,50,0.0,0,4,18,5,48,31,0,0,0,0
213,Stephon Gilmore MIN,13,33,16,49,0.0,0,1,9,1,0,0,0,0,0,0
213,Ugo Amadi NO,8,39,10,49,2.0,22,5,6,0,0,0,0,0,0,0
213,Chauncey Golston DAL,15,24,25,49,4.0,16,4,4,1,18,18,0,0,1,0
213,Noah Igbinoghene WSH,15,30,19,49,0.0,0,1,6,0,0,0,0,0,0,0
213,Tykee Smith TB,11,35,14,49,0.0,0,3,7,2,0,0,0,3,0,0
213,Evan Williams GB,13,31,18,49,0.0,0,1,3,1,1,1,0,1,0,0
213,Calen Bullock HOU,15,32,17,49,0.0,0,0,10,5,96,68,0,0,1,0
213,Garrett Williams ARI,14,36,13,49,0.0,0,0,6,2,0,0,0,1,0,0
221,Jimmie Ward HOU,10,32,16,48,0.0,0,5,4,2,67,65,1,0,0,0
221,B.J. Hill CIN,13,23,25,48,3.0,11,6,4,0,0,0,0,0,0,0
221,Isaiah Oliver NYJ,15,34,14,48,1.0,6,2,2,0,0,0,0,0,0,0
221,Tyson Campbell JAX,10,33,15,48,0.0,0,2,5,0,0,0,0,0,0,0
221,Cor'Dale Flott NYG,12,33,15,48,0.0,0,2,7,1,26,26,0,0,0,0
226,Eric Wilson GB,14,28,19,47,2.0,17,7,3,1,0,0,0,1,0,0
226,Sean Murphy-Bunting ARI,13,26,21,47,0.0,0,3,4,2,2,2,0,2,0,0
226,Troy Dye LAC,15,26,21,47,1.5,10,2,0,0,0,0,0,0,0,0
226,Alohi Gilman LAC,10,31,16,47,1.0,0,1,4,1,18,18,0,0,0,0
226,Troy Andersen ATL,7,28,19,47,0.0,0,1,1,1,47,47,1,0,0,0
231,Calais Campbell MIA,15,32,14,46,4.0,31,10,5,0,0,0,0,1,0,0
