PLR_NAME,Player,Team ABR,Team,RK,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD,Position,College,School,Conference
Tyler Goodson,Tyler Goodson,IND,Indianapolis,97,14,32,153,4.8,33,1,1,10.9,0,0,6,RB,Iowa,Iowa,Big Ten
Deshaun Watson,Deshaun Watson,CLE,Cleveland,98,7,31,148,4.8,16,0,1,21.1,2,1,8,QB,Clemson,Clemson,ACC
Roschon Johnson,Roschon Johnson,CHI,Chicago,99,12,49,142,2.9,9,0,6,11.8,0,0,16,RB,Texas,Texas,SEC
Miles Sanders,Miles Sanders,CAR,Carolina,100,10,38,139,3.7,26,1,1,13.9,0,0,9,RB,Penn State,Penn St.,Big Ten
Malik Willis,Malik Willis,GB,Green Bay,101,5,16,137,8.6,29,3,1,27.4,0,0,6,QB,Liberty,Liberty,CUSA
Cordarrelle Patterson,Cordarrelle Patterson,PIT,Pittsburgh,102,11,30,132,4.4,14,0,0,12.0,1,1,7,RB,Tennessee,Tennessee,SEC
Kimani Vidal,Kimani Vidal,LAC,LA Chargers,103,8,38,131,3.4,19,0,0,16.4,1,0,6,RB,Troy State,Troy,Sun Belt
Drew Lock,Drew Lock,NYG,NY Giants,104,6,11,130,11.8,28,3,1,21.7,0,0,7,QB,Missouri,Missouri,SEC
Kendre Miller,Kendre Miller,NO,New Orleans,104,4,28,130,4.6,17,0,1,32.5,0,0,9,RB,Texas Christian,Texas,SEC
Jamaal Williams,Jamaal Williams,NO,New Orleans,106,11,35,129,3.7,14,0,1,11.7,0,0,9,RB,Brigham Young,BYU,Big 12
Deebo Samuel Sr.,Deebo Samuel,SF,San Francisco,107,14,39,120,3.1,13,0,1,8.6,0,0,4,WR,South Carolina,South Carolina,SEC
Trevor Lawrence,Trevor Lawrence,JAX,Jacksonville,108,10,26,119,4.6,33,1,3,11.9,0,0,13,QB,Clemson,Clemson,ACC
D'Ernest Johnson,D'Ernest Johnson,JAX,Jacksonville,109,12,30,117,3.9,13,0,0,9.8,0,0,6,RB,South Florida,Florida,SEC
Dorian Thompson-Robinson,Dorian Thompson-Robinson,CLE,Cleveland,110,5,15,109,7.3,34,1,0,21.8,1,0,7,QB,UCLA,UCLA,Big Ten
Aaron Rodgers,Aaron Rodgers,NYJ,NY Jets,111,15,22,107,4.9,18,0,0,7.1,0,0,7,QB,California,California,ACC
Dameon Pierce,Dameon Pierce,HOU,Houston,112,9,16,104,6.5,54,1,1,11.6,0,0,2,RB,Florida,Florida,SEC
Dare Ogunbowale,Dare Ogunbowale,HOU,Houston,113,15,26,103,4.0,35,1,0,6.9,0,0,4,RB,Wisconsin,Wisconsin,Big Ten
Chris Brooks,Christopher Brooks,GB,Green Bay,114,12,22,101,4.6,18,0,0,8.4,0,0,7,RB,Brigham Young,BYU,Big 12
Isaiah Davis,Isaiah Davis,NYJ,NY Jets,115,15,23,98,4.3,17,0,1,6.5,0,0,6,RB,South Dakota State,NC State,ACC
Xavier Worthy,Xavier Worthy,KC,Kansas City,116,15,18,94,5.2,21,2,3,6.3,0,0,4,WR,Texas,Texas,SEC
Tyler Badie,Tyler Badie,DEN,Denver,117,3,11,86,7.8,43,1,0,28.7,0,0,4,RB,Missouri,Missouri,SEC
Russell Wilson,Russell Wilson,PIT,Pittsburgh,118,9,33,84,2.5,19,0,1,9.3,2,2,8,QB,Wisconsin,Wisconsin,Big Ten
Jameis Winston,Jameis Winston,CLE,Cleveland,119,12,25,83,3.3,13,0,1,6.9,0,0,17,QB,Florida State,Florida,SEC
Samaje Perine,Samaje Perine,KC,Kansas City,120,15,17,82,4.8,13,0,1,5.5,0,0,7,RB,Oklahoma,Oklahoma,SEC
Mason Rudolph,Mason Rudolph,TEN,Tennessee,121,6,19,78,4.1,14,0,1,13.0,3,1,9,QB,Oklahoma State,Oklahoma,SEC
Kenny McIntosh,Kenny McIntosh,SEA,Seattle,122,15,17,77,4.5,16,0,0,5.1,0,0,5,RB,Georgia,Georgia,SEC
Jordan Love,Jordan Love,GB,Green Bay,123,12,23,75,3.3,14,0,1,6.3,3,0,8,QB,Utah State,Utah,Big 12
Pierre Strong Jr.,Pierre Strong,CLE,Cleveland,123,13,21,75,3.6,14,0,0,5.8,0,0,4,RB,South Dakota State,NC State,ACC
Patrick Taylor Jr.,Patrick Taylor,SF,San Francisco,125,11,22,74,3.4,9,0,1,6.7,0,0,3,RB,Memphis,Memphis,The American
Julius Chestnut,Julius Chestnut,TEN,Tennessee,125,15,17,74,4.4,12,0,0,4.9,0,0,1,RB,Sacred Heart,,
Derek Carr,Derek Carr,NO,New Orleans,127,10,17,71,4.2,13,0,1,7.1,1,0,4,QB,Fresno State,Fresno St.,Mountain West
CeeDee Lamb,CeeDee Lamb,DAL,Dallas,128,15,14,70,5.0,18,0,0,4.7,0,0,4,WR,Oklahoma,Oklahoma,SEC
Sterling Shepard,Sterling Shepard,TB,Tampa Bay,129,13,8,69,8.6,24,1,0,5.3,0,0,4,WR,Oklahoma,Oklahoma,SEC
KaVontae Turpin,KaVontae Turpin,DAL,Dallas,129,15,13,69,5.3,16,0,0,4.6,1,0,5,WR,Texas Christian,Texas,SEC
JaMycal Hasty,JaMycal Hasty,NE,New England,129,14,20,69,3.5,15,0,0,4.9,0,0,4,RB,Baylor,Baylor,Big 12
Craig Reynolds,Craig Reynolds,DET,Detroit,129,15,16,69,4.3,19,0,0,4.6,1,0,4,RB,Kutztown,,
Tyler Huntley,Tyler Huntley,MIA,Miami,133,3,16,67,4.2,20,1,1,22.3,1,1,6,QB,Utah,Utah,Big 12
Ray-Ray McCloud III,Ray Ray McCloud,ATL,Atlanta,134,15,9,65,7.2,20,1,0,4.3,0,0,2,WR,Clemson,Clemson,ACC
Jameson Williams,Jameson Williams,DET,Detroit,135,13,9,63,7.0,15,0,0,4.8,0,0,4,WR,Alabama,Alabama,SEC
Jacoby Brissett,Jacoby Brissett,NE,New England,136,7,15,62,4.1,16,0,0,8.9,1,0,5,QB,North Carolina State,North Carolina,ACC
DJ Moore,D.J. Moore,CHI,Chicago,136,15,11,62,5.6,14,0,0,4.1,0,0,3,WR,Maryland,Maryland,Big Ten
Mecole Hardman,Mecole Hardman,KC,Kansas City,136,12,5,62,12.4,20,1,1,5.2,0,0,2,WR,Georgia,Georgia,SEC
Spencer Rattler,Spencer Rattler,NO,New Orleans,139,4,9,61,6.8,28,1,0,15.3,1,0,3,QB,South Carolina,South Carolina,SEC
Jared Goff,Jared Goff,DET,Detroit,140,15,32,59,1.8,10,0,0,3.9,0,0,9,QB,California,California,ACC
Gardner Minshew,Gardner Minshew,LV,Las Vegas,141,10,19,58,3.1,11,0,0,5.8,2,1,5,QB,Washington State,Washington,Big Ten
Jeff Wilson Jr.,Jeffery Wilson,MIA,Miami,142,7,11,56,5.1,14,0,0,8.0,0,0,3,RB,North Texas,North Texas,The American
Dak Prescott,Dak Prescott,DAL,Dallas,143,8,13,54,4.2,22,1,1,6.8,0,0,5,QB,Mississippi State,Mississippi St.,SEC
Tyreek Hill,Tyreek Hill,MIA,Miami,144,15,8,53,6.6,16,0,0,3.5,0,0,2,WR,West Alabama,Alabama,SEC
Mac Jones,Mac Jones,JAX,Jacksonville,144,8,17,53,3.1,13,0,1,6.6,1,1,6,QB,Alabama,Alabama,SEC
Calvin Ridley,Calvin Ridley,TEN,Tennessee,146,15,5,51,10.2,19,0,1,3.4,1,1,3,WR,Alabama,Alabama,SEC
Ronnie Rivers,Ronnie Rivers,LAR,LA Rams,146,15,10,51,5.1,12,0,0,3.4,0,0,5,RB,Fresno State,Fresno St.,Mountain West
Will Shipley,Will Shipley,PHI,Philadelphia,148,15,20,50,2.5,9,0,0,3.3,0,0,1,RB,Clemson,Clemson,ACC
Tua Tagovailoa,Tua Tagovailoa,MIA,Miami,149,11,17,49,2.9,13,0,0,4.5,3,0,5,QB,Alabama,Alabama,SEC
Zay Flowers,Zay Flowers,BAL,Baltimore,150,15,8,47,5.9,19,0,0,3.1,0,0,1,WR,Boston College,Boston College,ACC
Puka Nacua,Puka Nacua,LAR,LA Rams,151,10,11,46,4.2,9,0,1,4.6,0,0,2,WR,Brigham Young,BYU,Big 12
Ashton Dulin,Ashton Dulin,IND,Indianapolis,152,13,5,45,9.0,12,0,0,3.5,0,0,2,WR,Malone (OH),,
J.J. Taylor,J.J. Taylor,HOU,Houston,153,5,10,44,4.4,9,0,0,8.8,0,0,1,RB,Arizona,Arizona,Big 12
Derius Davis,Derius Davis,LAC,LA Chargers,154,13,10,43,4.3,10,0,0,3.3,0,0,2,WR,Texas Christian,Texas,SEC
Tank Dell,Nathaniel Dell,HOU,Houston,154,14,9,43,4.8,18,0,0,3.1,0,0,3,WR,Houston,Houston,Big 12
Marvin Mims Jr.,Marvin Mims,DEN,Denver,154,15,12,43,3.6,17,0,0,2.9,0,0,3,WR,Oklahoma,Oklahoma,SEC
Jordan Mims,Jordan Mims,NO,New Orleans,157,9,14,42,3.0,9,0,0,4.7,0,0,1,RB,Fresno State,Fresno St.,Mountain West
Bo Melton,Bo Melton,GB,Green Bay,158,14,6,39,6.5,16,0,0,2.8,0,0,3,WR,Rutgers,Rutgers,Big Ten
Ricky Pearsall,Ricky Pearsall,SF,San Francisco,158,9,1,39,39.0,39,1,0,4.3,0,0,1,WR,Florida,Florida,SEC
Tre Tucker,Tre Tucker,LV,Las Vegas,158,15,8,39,4.9,11,0,1,2.6,0,0,3,WR,Cincinnati,Cincinnati,Big 12
Khalil Herbert,Khalil Herbert,CHI/CIN,Cincinnati,161,12,12,38,3.2,14,0,1,3.2,0,0,4,RB,Virginia Tech,Virginia Tech,ACC
Marcus Mariota,Marcus Mariota,WSH,Washington,162,2,13,36,2.8,11,0,0,18.0,0,0,3,QB,Oregon,Oregon,Big Ten
Desmond Ridder,Desmond Ridder,LV,Las Vegas,162,5,9,36,4.0,11,0,0,7.2,1,0,2,QB,Cincinnati,Cincinnati,Big 12
Malik Washington,Malik Washington,MIA,Miami,162,12,4,36,9.0,18,0,1,3.0,0,0,1,WR,Virginia,Virginia,ACC
Andy Dalton,Andy Dalton,CAR,Carolina,165,6,11,34,3.1,18,0,0,5.7,2,0,2,QB,Texas Christian,Texas,SEC
Rasheen Ali,Rasheen Ali,BAL,Baltimore,165,4,9,34,3.8,9,0,0,8.5,0,0,2,RB,Marshall,Marshall,Sun Belt
DJ Turner,DJ Turner,LV,Cincinnati,167,12,5,33,6.6,18,0,1,2.8,0,0,1,DB,Michigan,Michigan,Big Ten
Deuce Vaughn,Deuce Vaughn,DAL,Dallas,167,6,11,33,3.0,7,0,0,5.5,0,0,0,RB,Kansas State,Kansas,Big 12
Tommy DeVito,Tommy DeVito,NYG,NY Giants,169,3,8,32,4.0,17,0,0,10.7,0,0,1,QB,Illinois,Illinois,Big Ten
