PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College,School,Conference
Alex Anzalone,Alex Anzalone,DET,Detroit,170,9,40,16,56,1.0,8,7,4,0,0,0,0,0,0,0,LB,Florida,Florida,SEC
Jalen Ramsey,Jalen Ramsey,MIA,Miami,170,15,36,20,56,1.0,12,5,9,2,7,7,0,0,0,0,DB,Florida State,Florida,SEC
Marlon Humphrey,Marlon Humphrey,BAL,Baltimore,170,14,42,14,56,0.5,3,4,13,6,37,37,1,1,0,0,DB,Alabama,Alabama,SEC
Carlton Davis III,Carlton Davis,DET,Detroit,170,13,42,14,56,0.0,0,2,11,2,0,0,0,1,2,0,DB,Auburn,Auburn,SEC
Denzel Perryman,Denzel Perryman,LAC,LA Chargers,174,11,39,16,55,1.0,7,2,0,0,0,0,0,0,0,0,LB,Miami,Miami (FL),ACC
Davon Godchaux,Davon Godchaux,NE,New England,174,15,19,36,55,0.0,0,1,1,0,0,0,0,0,0,0,DT,Louisiana State,Louisiana,Sun Belt
Rasul Douglas,Rasul Douglas,BUF,Buffalo,174,13,40,15,55,0.0,0,5,5,0,0,0,0,1,0,0,DB,West Virginia,West Virginia,Big 12
Trent McDuffie,Trent McDuffie,KC,Kansas City,174,15,41,14,55,0.5,0,6,12,2,0,0,0,0,0,0,DB,Washington,Washington,Big Ten
Leonard Williams,Leonard Williams,SEA,Seattle,178,14,28,26,54,7.0,52,12,3,1,92,92,1,0,0,0,DE,Southern California,Southern California,Big Ten
D.J. Reed,D.J. Reed,NYJ,NY Jets,178,12,43,11,54,1.0,8,3,10,0,0,0,0,0,0,0,DB,Kansas State,Kansas,Big 12
Jerome Baker,Jerome Baker,SEA/TEN,Tennessee,178,8,30,24,54,1.0,0,2,2,0,0,0,0,1,1,0,LB,Ohio State,Ohio State,Big Ten
Travon Walker,Travon Walker,JAX,Jacksonville,178,15,28,26,54,8.5,80,11,1,0,0,0,0,1,1,1,DE,Georgia,Georgia,SEC
Leo Chenal,Leo Chenal,KC,Kansas City,178,15,38,16,54,1.0,0,4,3,0,0,0,0,3,0,0,LB,Wisconsin,Wisconsin,Big Ten
Renardo Green,Renardo Green,SF,San Francisco,178,15,37,17,54,0.0,0,0,9,1,20,20,0,1,0,0,DB,Florida State,Florida,SEC
Omar Speights,Omar Speights,LAR,LA Rams,178,15,31,23,54,0.0,0,2,2,0,0,0,0,0,0,0,LB,Louisiana State,Louisiana,Sun Belt
Zach Allen,Zach Allen,DEN,Denver,185,14,30,23,53,5.0,22,13,1,0,0,0,0,0,0,0,DE,Boston College,Boston College,ACC
DaVon Hamilton,Davon Hamilton,JAX,Jacksonville,185,15,29,24,53,0.0,0,5,0,0,0,0,0,0,0,0,DT,Ohio State,Ohio State,Big Ten
Jevon Holland,Jevon Holland,MIA,Miami,185,13,37,16,53,1.0,12,2,3,0,0,0,0,1,0,0,DB,Oregon,Oregon,Big Ten
Tyrann Mathieu,Tyrann Mathieu,NO,New Orleans,188,14,38,14,52,0.0,0,1,6,3,29,23,0,2,1,0,DB,Louisiana State,Louisiana,Sun Belt
Jonathan Jones,Jonathan Jones,NE,New England,188,15,37,15,52,0.0,0,0,6,0,0,0,0,2,0,0,DB,Auburn,Auburn,SEC
DeForest Buckner,DeForest Buckner,IND,Indianapolis,188,10,24,28,52,6.5,62,8,1,0,0,0,0,0,0,0,DT,Oregon,Oregon,Big Ten
Vonn Bell,Vonn Bell,CIN,Cincinnati,188,15,22,30,52,0.0,0,1,2,1,32,32,0,1,1,0,DB,Ohio State,Ohio State,Big Ten
Jonathan Greenard,Jonathan Greenard,MIN,Minnesota,188,15,36,16,52,11.0,99,16,2,0,0,0,0,4,0,0,LB,Florida,Florida,SEC
Divine Deablo,Divine Deablo,LV,Las Vegas,188,12,32,20,52,1.0,13,3,2,0,0,0,0,0,0,0,LB,Virginia Tech,Virginia Tech,ACC
Jonathon Cooper,Jonathon Cooper,DEN,Denver,188,15,29,23,52,8.0,40,9,1,0,0,0,0,1,0,0,LB,Ohio State,Ohio State,Big Ten
Paulson Adebo,Paulson Adebo,NO,New Orleans,188,7,43,9,52,0.0,0,1,10,3,68,47,0,0,0,0,DB,Stanford,Stanford,ACC
Keion White,Keion White,NE,New England,188,15,28,24,52,5.0,25,7,5,0,0,0,0,2,0,0,DE,Georgia Tech,Georgia Tech,ACC
Jordan Battle,Jordan Battle,CIN,Cincinnati,188,15,32,20,52,0.0,0,1,3,1,0,0,0,0,1,0,DB,Alabama,Alabama,SEC
Terrion Arnold,Terrion Arnold,DET,Detroit,188,14,40,12,52,0.0,0,0,9,0,0,0,0,0,1,0,DB,Alabama,Alabama,SEC
Byron Young,Byron Young,LAR,Philadelphia,188,15,28,24,52,6.0,44,11,1,0,0,0,0,1,0,0,DT,Alabama,Alabama,SEC
Byron Young,Byron Young,LAR,LA Rams,188,15,28,24,52,6.0,44,11,1,0,0,0,0,1,0,0,LB,Tennessee,Tennessee,SEC
Rayshawn Jenkins,Rayshawn Jenkins,SEA,Seattle,200,11,33,18,51,1.0,16,1,0,0,0,0,0,0,1,1,DB,Miami,Miami (FL),ACC
Charvarius Ward,Charvarius Ward,SF,San Francisco,200,11,35,16,51,0.0,0,1,7,0,0,0,0,0,0,0,DB,Middle Tennessee State,Middle Tenn.,CUSA
Zaven Collins,Zaven Collins,ARI,Arizona,200,15,30,21,51,4.0,33,6,1,0,0,0,0,1,0,0,LB,Tulsa,Tulsa,The American
Tarheeb Still,Tarheeb Still,LAC,LA Chargers,200,12,36,15,51,0.5,5,0,10,4,85,61,1,0,0,0,DB,Maryland,Maryland,Big Ten
Kamari Lassiter,Kamari Lassiter,HOU,Houston,200,12,38,13,51,0.0,0,3,10,3,9,9,0,0,0,0,DB,Georgia,Georgia,SEC
Justin Simmons,Justin Simmons,ATL,Atlanta,205,14,27,23,50,0.0,0,2,7,2,0,0,0,0,0,0,DB,Boston College,Boston College,ACC
Kendall Fuller,Kendall Fuller,MIA,Miami,205,11,37,13,50,0.0,0,1,7,0,0,0,0,0,1,0,DB,Virginia Tech,Virginia Tech,ACC
Neville Hewitt,Neville Hewitt,HOU,Houston,205,15,27,23,50,0.0,0,0,3,1,45,45,0,2,0,0,LB,Marshall,Marshall,Sun Belt
Will Harris,William Harris,NO,New Orleans,205,10,34,16,50,0.0,0,2,4,1,7,7,0,0,0,0,DB,Boston College,Boston College,ACC
Carl Granderson,Carl Granderson,NO,New Orleans,205,14,32,18,50,5.5,32,8,3,0,0,0,0,1,0,0,DE,Wyoming,Wyoming,Mountain West
Malik Harrison,Malik Harrison,BAL,Baltimore,205,13,21,29,50,2.0,8,3,0,0,0,0,0,0,0,0,LB,Ohio State,Ohio State,Big Ten
Greg Rousseau,Gregory Rousseau,BUF,Buffalo,205,15,35,15,50,7.5,44,16,2,0,0,0,0,3,1,0,DE,Miami,Miami (FL),ACC
Derek Stingley Jr.,Derek Stingley,HOU,Houston,205,15,36,14,50,0.0,0,4,18,5,48,31,0,0,0,0,DB,Louisiana State,Louisiana,Sun Belt
Stephon Gilmore,Stephon Gilmore,MIN,Minnesota,213,13,33,16,49,0.0,0,1,9,1,0,0,0,0,0,0,DB,South Carolina,South Carolina,SEC
Ugo Amadi,Ugo Amadi,NO,New Orleans,213,8,39,10,49,2.0,22,5,6,0,0,0,0,0,0,0,DB,Oregon,Oregon,Big Ten
Chauncey Golston,Chauncey Golston,DAL,Dallas,213,15,24,25,49,4.0,16,4,4,1,18,18,0,0,1,0,DE,Iowa,Iowa,Big Ten
Noah Igbinoghene,Noah Igbinoghene,WSH,Washington,213,15,30,19,49,0.0,0,1,6,0,0,0,0,0,0,0,DB,Auburn,Auburn,SEC
Tykee Smith,Tykee Smith,TB,Tampa Bay,213,11,35,14,49,0.0,0,3,7,2,0,0,0,3,0,0,DB,Georgia,Georgia,SEC
Evan Williams,Evan Williams,GB,Green Bay,213,13,31,18,49,0.0,0,1,3,1,1,1,0,1,0,0,DB,Oregon,Oregon,Big Ten
Calen Bullock,Calen Bullock,HOU,Houston,213,15,32,17,49,0.0,0,0,10,5,96,68,0,0,1,0,DB,Southern California,Southern California,Big Ten
Garrett Williams,Garrett Williams,ARI,Arizona,213,14,36,13,49,0.0,0,0,6,2,0,0,0,1,0,0,DB,Syracuse,Syracuse,ACC
Jimmie Ward,Jimmie Ward,HOU,Houston,221,10,32,16,48,0.0,0,5,4,2,67,65,1,0,0,0,DB,Northern Illinois,Illinois,Big Ten
B.J. Hill,B.J. Hill,CIN,Cincinnati,221,13,23,25,48,3.0,11,6,4,0,0,0,0,0,0,0,DT,North Carolina State,North Carolina,ACC
Isaiah Oliver,Isaiah Oliver,NYJ,NY Jets,221,15,34,14,48,1.0,6,2,2,0,0,0,0,0,0,0,DB,Colorado,Colorado,Big 12
Tyson Campbell,Tyson Campbell,JAX,Jacksonville,221,10,33,15,48,0.0,0,2,5,0,0,0,0,0,0,0,DB,Georgia,Georgia,SEC
Cor'Dale Flott,Cordale Flott,NYG,NY Giants,221,12,33,15,48,0.0,0,2,7,1,26,26,0,0,0,0,DB,Louisiana State,Louisiana,Sun Belt
Eric Wilson,Eric Wilson,GB,Green Bay,226,14,28,19,47,2.0,17,7,3,1,0,0,0,1,0,0,LB,Cincinnati,Cincinnati,Big 12
Sean Murphy-Bunting,Sean Murphy-Bunting,ARI,Arizona,226,13,26,21,47,0.0,0,3,4,2,2,2,0,2,0,0,DB,Central Michigan,Michigan,Big Ten
Troy Dye,Troy Dye,LAC,LA Chargers,226,15,26,21,47,1.5,10,2,0,0,0,0,0,0,0,0,LB,Oregon,Oregon,Big Ten
Alohi Gilman,Alohi Gilman,LAC,LA Chargers,226,10,31,16,47,1.0,0,1,4,1,18,18,0,0,0,0,DB,Notre Dame,Notre Dame,FBS Independent
Troy Andersen,Troy Andersen,ATL,Atlanta,226,7,28,19,47,0.0,0,1,1,1,47,47,1,0,0,0,LB,Montana State,NC State,ACC
Calais Campbell,Calais Campbell,MIA,Miami,231,15,32,14,46,4.0,31,10,5,0,0,0,0,1,0,0,DT,Miami,Miami (FL),ACC
Darius Slay Jr.,Darius Slay,PHI,Philadelphia,231,13,37,9,46,0.0,0,3,13,0,0,0,0,1,1,0,DB,Mississippi State,Mississippi St.,SEC
Rakeem Nunez-Roches,Rakeem Nunez-Roches,NYG,NY Giants,231,13,11,35,46,1.0,1,1,2,0,0,0,0,0,0,0,DT,Southern Mississippi,Southern Miss.,Sun Belt
Grady Jarrett,Grady Jarrett,ATL,Atlanta,231,15,25,21,46,2.5,23,9,0,0,0,0,0,0,0,0,DT,Clemson,Clemson,ACC
Ronald Darby,Ronald Darby,JAX,Jacksonville,231,13,36,10,46,0.0,0,3,9,0,0,0,0,0,0,0,DB,Florida State,Florida,SEC
Troy Reeder,Troy Reeder,LAR,LA Rams,231,6,26,20,46,0.0,0,1,1,0,0,0,0,0,0,0,LB,Delaware,,
Michael Hoecht,Michael Hoecht,LAR,LA Rams,231,15,20,26,46,3.0,14,4,2,0,0,0,0,0,0,0,LB,Brown,,
Jordan Fuller,Jordan Fuller,CAR,Carolina,231,8,27,19,46,0.0,0,0,1,0,0,0,0,1,0,0,DB,Ohio State,Ohio State,Big Ten
Sauce Gardner,Chauncey Gardner-Johnson,NYJ,Philadelphia,231,14,33,13,46,1.0,4,1,8,1,0,0,0,0,0,0,DB,Florida,Florida,SEC
Yaya Diaby,YaYa Diaby,TB,Tampa Bay,231,15,33,13,46,2.5,20,8,0,0,0,0,0,1,1,0,LB,Louisville,Louisville,ACC
Max Melton,Max Melton,ARI,Arizona,231,15,34,12,46,0.0,0,2,4,0,0,0,0,1,0,0,DB,Rutgers,Rutgers,Big Ten
Zach Sieler,Zach Sieler,MIA,Miami,242,13,24,21,45,8.5,75,12,2,1,0,0,0,1,1,0,DT,Ferris State,NC State,ACC
Raekwon McMillan,Jalen McMillan,NE,Tampa Bay,242,9,25,20,45,0.0,0,1,1,0,0,0,0,0,0,0,WR,Washington,Washington,Big Ten
David Long Jr.,David Long,MIA/DET,Indianapolis,242,13,29,16,45,0.0,0,3,0,0,0,0,0,0,1,0,DB,Michigan,Michigan,Big Ten
David Long Jr.,David Long,MIA/DET,Detroit,242,13,29,16,45,0.0,0,3,0,0,0,0,0,0,1,0,LB,West Virginia,West Virginia,Big 12
Maxx Crosby,Maxx Crosby,LV,Las Vegas,242,12,28,17,45,7.5,64,17,5,0,0,0,0,0,0,0,DE,Eastern Michigan,Michigan,Big Ten
Juan Thornhill,Juan Thornhill,CLE,Cleveland,242,9,28,17,45,0.0,0,1,2,0,0,0,0,0,0,0,DB,Virginia,Virginia,ACC
Nate Hobbs,Nate Hobbs,LV,Las Vegas,242,10,30,15,45,0.0,0,2,5,1,35,35,0,0,0,0,DB,Illinois,Illinois,Big Ten
Jordan Howden,Jordan Howden,NO,New Orleans,242,14,22,23,45,0.0,0,1,1,1,-5,-5,0,0,0,0,DB,Minnesota,Minnesota,Big Ten
Beanie Bishop Jr.,Beanie Bishop,PIT,Pittsburgh,242,15,30,15,45,0.5,3,2,6,3,46,41,0,0,1,0,DB,West Virginia,West Virginia,Big 12
Deonte Banks,Deonte Banks,NYG,NY Giants,242,12,34,11,45,0.0,0,1,9,0,0,0,0,1,0,0,DB,Maryland,Maryland,Big Ten
Kamren Kinchens,Kamren Kinchens,LAR,LA Rams,242,15,27,18,45,0.0,0,1,5,3,112,103,1,1,0,0,DB,Miami,Miami (FL),ACC
Cooper DeJean,Cooper DeJean,PHI,Philadelphia,242,15,34,11,45,0.5,8,3,6,0,0,0,0,1,2,0,DB,Iowa,Iowa,Big Ten
Jalen Mills,Jalen Mills,NYJ,NY Jets,253,9,17,27,44,0.0,0,1,6,1,0,0,0,1,0,0,DB,Louisiana State,Louisiana,Sun Belt
Danielle Hunter,Danielle Hunter,HOU,Houston,253,15,30,14,44,12.0,94,17,3,0,0,0,0,1,0,0,DE,Louisiana State,Louisiana,Sun Belt
Daniel Ekuale,Daniel Ekuale,NE,New England,253,14,22,22,44,1.0,6,2,0,0,0,0,0,0,0,0,DT,Washington State,Washington,Big Ten
Harrison Phillips,Harrison Phillips,MIN,Minnesota,253,15,14,30,44,2.0,14,2,4,0,0,0,0,1,1,0,DT,Stanford,Stanford,ACC
Denzel Ward,Denzel Ward,CLE,Cleveland,253,15,37,7,44,0.0,0,1,19,2,0,0,0,1,1,0,DB,Ohio State,Ohio State,Big Ten
Kristian Fulton,Kristian Fulton,LAC,LA Chargers,253,13,32,12,44,0.0,0,2,7,1,29,29,0,0,0,0,DB,Louisiana State,Louisiana,Sun Belt
Dexter Lawrence II,Dexter Lawrence,NYG,NY Giants,253,12,23,21,44,9.0,65,8,1,0,0,0,0,1,0,0,DT,Clemson,Clemson,ACC
Nick Bosa,Nick Bosa,SF,San Francisco,253,12,28,16,44,7.0,40,11,1,1,30,30,0,1,1,0,DE,Ohio State,Ohio State,Big Ten
Nazeeh Johnson,Nazeeh Johnson,KC,Kansas City,253,14,24,20,44,1.0,17,3,3,0,0,0,0,0,0,0,DB,Marshall,Marshall,Sun Belt
Jack Gibbens,Jack Gibbens,TEN,Tennessee,253,10,22,22,44,0.5,3,2,0,0,0,0,0,0,0,0,LB,Minnesota,Minnesota,Big Ten
Dane Belton,Dane Belton,NYG,NY Giants,253,15,19,25,44,1.0,5,1,4,0,0,0,0,1,0,0,DB,Iowa,Iowa,Big Ten
Gervon Dexter Sr.,Gervon Dexter,CHI,Chicago,253,13,23,21,44,5.0,37,4,1,0,0,0,0,0,2,0,DT,Florida,Florida,SEC
DeMarcus Walker,DeMarcus Walker,CHI,Chicago,265,15,23,20,43,3.5,20,5,0,0,0,0,0,0,0,0,DE,Florida State,Florida,SEC
Jarran Reed,Jarran Reed,SEA,Seattle,265,15,20,23,43,3.5,36,4,2,0,0,0,0,1,0,0,DT,Alabama,Alabama,SEC
Jaylinn Hawkins,Jaylinn Hawkins,NE,New England,265,15,26,17,43,0.0,0,3,1,0,0,0,0,0,1,0,DB,California,California,ACC
Amik Robertson,Amik Robertson,DET,Detroit,265,15,34,9,43,0.0,0,4,6,0,0,0,0,2,0,0,DB,Louisiana Tech,Louisiana Tech,CUSA
Malcolm Rodriguez,Malcolm Rodriguez,DET,Detroit,265,10,27,16,43,2.0,7,2,1,0,0,0,0,0,1,0,LB,Oklahoma State,Oklahoma,SEC
Jaylon Johnson,Jaylon Johnson,CHI,Chicago,265,15,34,9,43,0.0,0,7,7,2,11,9,0,0,0,0,DB,Utah,Utah,Big 12
Riq Woolen,Tariq Woolen,SEA,Seattle,265,13,29,14,43,0.0,0,0,13,2,4,4,0,1,0,0,DB,Texas-San Antonio,Texas,SEC
Nik Bonitto,Nik Bonitto,DEN,Denver,265,15,29,14,43,11.5,80,14,3,1,71,71,1,2,1,1,LB,Oklahoma,Oklahoma,SEC
Roger McCreary,Roger McCreary,TEN,Tennessee,265,13,36,7,43,1.0,13,11,1,0,0,0,0,0,0,0,DB,Auburn,Auburn,SEC
T'Vondre Sweat,T'Vondre Sweat,TEN,Tennessee,265,15,19,24,43,1.0,9,4,1,0,0,0,0,1,1,0,DT,Texas,Texas,SEC
Quandre Diggs,Quandre Diggs,TEN,Tennessee,275,8,35,7,42,0.0,0,0,0,0,0,0,0,0,0,0,DB,Texas,Texas,SEC
Emmanuel Ogbah,Emmanuel Ogbah,MIA,Miami,275,14,22,20,42,3.5,11,7,2,1,0,0,0,0,0,0,LB,Oklahoma State,Oklahoma,SEC
Marcus Maye,Marcus Maye,LAC/MIA,LA Chargers,275,15,19,23,42,0.0,0,1,3,1,0,0,0,0,0,0,DB,Florida,Florida,SEC
Sebastian Joseph-Day,Sebastian Joseph,TEN,Tennessee,275,15,18,24,42,2.5,32,3,1,0,0,0,0,0,0,0,DE,Rutgers,Rutgers,Big Ten
Darnell Savage,Darnell Savage,JAX,Jacksonville,275,12,33,9,42,0.0,0,2,6,1,16,16,0,0,0,0,DB,Maryland,Maryland,Big Ten
Osa Odighizuwa,Osa Odighizuwa,DAL,Dallas,275,15,23,19,42,4.0,22,5,1,0,0,0,0,1,0,0,DT,UCLA,UCLA,Big Ten
Trevon Diggs,Trevon Diggs,DAL,Dallas,275,11,35,7,42,0.0,0,0,11,2,1,1,0,0,0,0,DB,Alabama,Alabama,SEC
Starling Thomas V,Starling Thomas,ARI,Arizona,275,15,30,12,42,0.0,0,1,6,0,0,0,0,1,0,0,DB,Alabama-Birmingham,Alabama,SEC
Jalen Carter,Jalen Carter,PHI,Philadelphia,275,15,25,17,42,4.5,31,12,5,0,0,0,0,2,0,0,DT,Georgia,Georgia,SEC
John Jenkins,John Jenkins,LV,Las Vegas,284,15,12,29,41,1.0,11,3,2,0,0,0,0,0,0,0,DT,Georgia,Georgia,SEC
Elandon Roberts,Elandon Roberts,PIT,Pittsburgh,284,15,21,20,41,1.0,9,5,0,0,0,0,0,1,0,0,LB,Houston,Houston,Big 12
Sam Hubbard,Sam Hubbard,CIN,Cincinnati,284,14,25,16,41,2.0,6,3,2,1,0,0,0,1,0,0,DE,Ohio State,Ohio State,Big Ten
Myles Garrett,Myles Garrett,CLE,Cleveland,284,15,34,7,41,12.0,85,18,1,0,0,0,0,3,1,0,DE,Texas A&M,Texas A&M,SEC
David Onyemata,David Onyemata,ATL,Atlanta,284,15,21,20,41,2.0,8,7,1,0,0,0,0,0,0,0,DT,Manitoba,,
Darious Williams,Darious Williams,LAR,LA Rams,284,11,29,12,41,0.0,0,1,6,1,0,0,0,0,0,0,DB,Alabama-Birmingham,Alabama,SEC
DJ Johnson,D.J. Johnson,CAR,Carolina,284,13,17,24,41,0.5,0,2,1,0,0,0,0,0,1,0,LB,Oregon,Oregon,Big Ten
Braden Fiske,Braden Fiske,LAR,LA Rams,284,15,18,23,41,6.0,62,8,0,0,0,0,0,2,2,0,DE,Florida State,Florida,SEC
Quinyon Mitchell,Quinyon Mitchell,PHI,Philadelphia,284,15,32,9,41,0.0,0,0,10,0,0,0,0,0,0,0,DB,Toledo,Toledo,MAC
Jadeveon Clowney,Jadeveon Clowney,CAR,Carolina,293,12,22,18,40,3.5,39,7,3,0,0,0,0,0,0,0,LB,South Carolina,South Carolina,SEC
Jabrill Peppers,Jabrill Peppers,NE,New England,293,6,20,20,40,0.0,0,2,2,1,0,0,0,1,0,0,DB,Michigan,Michigan,Big Ten
Shy Tuttle,Shy Tuttle,CAR,Carolina,293,13,20,20,40,0.0,0,0,3,0,0,0,0,1,2,0,DT,Tennessee,Tennessee,SEC
Malcolm Roach,Malcolm Roach,DEN,Denver,293,15,17,23,40,2.5,14,4,2,0,0,0,0,1,1,0,DT,Texas,Texas,SEC
Baylon Spector,Baylon Spector,BUF,Buffalo,293,11,22,18,40,1.5,1,2,0,0,0,0,0,0,1,0,LB,Clemson,Clemson,ACC
Grant Stuard,Grant Stuard,IND,Indianapolis,293,15,25,15,40,0.0,0,2,0,0,0,0,0,0,0,0,LB,Houston,Houston,Big 12
LaBryan Ray,LaBryan Ray,CAR,Carolina,293,14,15,25,40,1.0,5,2,0,0,0,0,0,0,0,0,DE,Alabama,Alabama,SEC
Elijah Hicks,Elijah Hicks,CHI,Chicago,293,12,24,16,40,0.0,0,0,2,0,0,0,0,0,2,0,DB,California,California,ACC
Jonathan Owens,Jonathan Owens,CHI,Chicago,293,15,24,16,40,0.0,0,1,2,1,0,0,0,1,1,0,DB,Missouri Western State,Missouri,SEC
Bobby Brown III,Bobby Brown,LAR,LA Rams,293,15,13,27,40,0.0,0,3,0,0,0,0,0,0,0,0,DT,Texas A&M,Texas A&M,SEC
Cobie Durant,Decobie Durant,LAR,LA Rams,293,13,28,12,40,1.0,11,4,6,1,0,0,0,1,0,0,DB,South Carolina State,South Carolina,SEC
Nolan Smith Jr.,Nolan Smith,PHI,Philadelphia,293,15,21,19,40,6.5,42,7,2,0,0,0,0,0,2,0,LB,Georgia,Georgia,SEC
Jaquan Brisker,Jaquan Brisker,CHI,Chicago,293,5,23,17,40,1.0,9,3,2,1,0,0,0,1,0,0,DB,Penn State,Penn St.,Big Ten
Leonard Floyd,Leonard Floyd,SF,San Francisco,306,15,23,16,39,8.5,40,8,1,0,0,0,0,1,0,0,LB,Georgia,Georgia,SEC
Josh Hines-Allen,Joshua Hines-Allen,JAX,Jacksonville,306,15,23,16,39,7.0,46,8,2,0,0,0,0,1,1,0,DE,Kentucky,Kentucky,SEC
Pat Jones II,Donovan Peoples-Jones,MIN,Detroit,306,14,19,20,39,7.0,47,9,0,0,0,0,0,1,0,0,WR,Michigan,Michigan,Big Ten
Darrell Baker Jr.,Darrell Baker,TEN,Tennessee,306,15,31,8,39,0.0,0,1,5,0,0,0,0,0,0,0,DB,Georgia Southern,Georgia,SEC
Rashan Gary,Rashan Gary,GB,Green Bay,306,14,21,18,39,6.5,35,6,1,0,0,0,0,1,0,0,LB,Michigan,Michigan,Big Ten
Percy Butler,Percy Butler,WSH,Washington,306,15,23,16,39,0.0,0,2,1,0,0,0,0,0,0,0,DB,Louisiana-Lafayette,Louisiana,Sun Belt
Darius Muasau,Darius Muasau,NYG,NY Giants,306,13,20,19,39,0.0,0,2,1,1,1,1,0,0,0,0,LB,UCLA,UCLA,Big Ten
Tuli Tuipulotu,Tuli Tuipulotu,LAC,LA Chargers,306,15,23,16,39,7.5,19,9,2,0,0,0,0,1,0,0,LB,Southern California,Southern California,Big Ten
Chau Smith-Wade,Chau Smith-Wade,CAR,Carolina,306,14,24,15,39,0.0,0,1,1,1,3,3,0,1,0,0,DB,Washington State,Washington,Big Ten
Daryl Worley,Daryl Worley,TEN,Tennessee,315,7,22,16,38,0.0,0,0,2,1,0,0,0,0,0,0,DB,West Virginia,West Virginia,Big 12
Trey Hendrickson,Trey Hendrickson,CIN,Cincinnati,315,15,28,10,38,13.5,98,15,5,0,0,0,0,2,0,0,DE,Florida Atlantic,Florida,SEC
Poona Ford,Poona Ford,LAC,LA Chargers,315,15,23,15,38,3.0,19,8,5,1,3,3,0,0,0,0,DE,Texas,Texas,SEC
Vita Vea,Vita Vea,TB,Tampa Bay,315,14,25,13,38,6.0,39,9,1,0,0,0,0,0,0,0,DT,Washington,Washington,Big Ten
D.J. Jones,D.J. Jones,DEN,Denver,315,15,20,18,38,0.5,2,1,3,0,0,0,0,0,1,0,DT,Mississippi,Mississippi St.,SEC
Daron Payne,Daron Payne,WSH,Washington,315,15,21,17,38,4.0,37,5,1,0,0,0,0,0,0,0,DT,Alabama,Alabama,SEC
Nnamdi Madubuike,Khalil Mack,BAL,Los Angeles Chargers,315,15,19,19,38,5.5,18,9,1,0,0,0,0,1,0,0,LB,Buffalo,Buffalo,MAC
Javon Kinlaw,Javon Kinlaw,NYJ,NY Jets,315,15,25,13,38,3.5,37,4,0,0,0,0,0,1,1,0,DT,South Carolina,South Carolina,SEC
Marist Liufau,Marist Liufau,DAL,Dallas,315,15,21,17,38,1.5,9,3,3,0,0,0,0,2,1,0,LB,Notre Dame,Notre Dame,FBS Independent
Jer'Zhan Newton,Jer'Zhan Newton,WSH,Washington,315,14,18,20,38,2.0,8,6,1,0,0,0,0,1,1,0,DT,Illinois,Illinois,Big Ten
Khalil Mack,Khalil Mack,LAC,LA Chargers,325,14,18,19,37,5.0,33,5,8,0,0,0,0,2,1,0,LB,Buffalo,Buffalo,MAC
Shelby Harris,Shelby Harris,CLE,Cleveland,325,14,18,19,37,1.5,9,5,2,0,0,0,0,1,0,0,DT,Illinois State,Illinois,Big Ten
Chris Jones,Chris Jones,KC,Kansas City,325,15,19,18,37,5.0,23,9,0,0,0,0,0,1,0,0,DT,Mississippi State,Mississippi St.,SEC
Larry Ogunjobi,Larry Ogunjobi,PIT,Pittsburgh,325,13,14,23,37,1.5,11,5,0,0,0,0,0,0,0,0,DT,North Carolina-Charlotte,North Carolina,ACC
John Franklin-Myers,John Franklin-Myers,DEN,Denver,325,15,17,20,37,5.5,40,7,0,0,0,0,0,0,0,0,DE,Stephen F. Austin,,
Isaac Yiadom,Isaac Yiadom,SF,San Francisco,325,15,30,7,37,0.0,0,0,6,1,11,11,0,1,1,0,DB,Boston College,Boston College,ACC
Mike Brown,Mike Brown,TEN,Tennessee,325,15,18,19,37,0.0,0,0,1,0,0,0,0,0,0,0,DB,Miami (OH),Miami (OH),MAC
Marte Mapu,Marte Mapu,NE,New England,325,8,16,21,37,0.5,5,1,6,1,6,6,0,3,0,0,DB,Sacramento State,NC State,ACC
Kwity Paye,Kwity Paye,IND,Indianapolis,325,13,26,11,37,7.0,43,8,0,0,0,0,0,1,0,0,DE,Michigan,Michigan,Big Ten
Micah Parsons,Micah Parsons,DAL,Dallas,325,11,25,12,37,9.5,70,9,1,0,0,0,0,2,0,0,LB,Penn State,Penn St.,Big Ten
Joseph Ossai,Joseph Ossai,CIN,Cincinnati,325,15,21,16,37,4.0,27,4,0,0,0,0,0,1,0,0,DE,Texas,Texas,SEC
Travis Jones,Travis Jones,BAL,Baltimore,325,15,20,17,37,1.0,11,4,0,0,0,0,0,0,0,0,DT,Connecticut,UConn,FBS Independent
Dante Stills,Dante Stills,ARI,Arizona,325,14,16,21,37,4.5,32,4,1,0,0,0,0,1,0,0,DE,West Virginia,West Virginia,Big 12
Josh Sweat,Josh Sweat,PHI,Philadelphia,338,15,24,12,36,8.0,54,9,2,0,0,0,0,0,0,0,LB,Florida State,Florida,SEC
Arden Key,Arden Key,TEN,Tennessee,338,15,23,13,36,6.5,38,11,1,0,0,0,0,2,1,0,LB,Louisiana State,Louisiana,Sun Belt
Mike Danna,Mike Danna,KC,Kansas City,338,11,17,19,36,1.5,14,2,1,0,0,0,0,1,0,0,DE,Michigan,Michigan,Big Ten
