PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College
Benjamin St-Juste,Benjamin St-Juste,WSH,Washington,140,15,50,13,63,0.0,0,0,7,0,0,0,0,1,1,0,DB,Minnesota
Jared Verse,Jared Verse,LAR,LA Rams,140,15,34,29,63,4.5,45,11,2,0,0,0,0,2,2,0,LB,Florida State
Eric Murray,Eric Murray,HOU,Houston,142,15,42,20,62,1.0,14,1,10,1,0,0,0,0,0,0,DB,Minnesota
Mike Hilton,Mike Hilton,CIN,Cincinnati,142,14,43,19,62,0.0,0,12,4,1,0,0,0,0,0,0,DB,Mississippi
Jack Jones,Jack Jones,LV,Las Vegas,142,15,49,13,62,0.0,0,3,12,2,53,29,1,0,0,0,DB,Arizona State
Christian Elliss,Christian Elliss,NE,New England,142,14,35,27,62,1.5,14,1,4,1,6,6,0,1,1,0,LB,Idaho
Christian Benford,Christian Benford,BUF,Buffalo,142,14,48,14,62,1.0,8,3,9,1,6,6,0,2,1,0,DB,Villanova
Jourdan Lewis,Jourdan Lewis,DAL,Dallas,147,14,34,27,61,1.0,10,3,7,1,0,0,0,1,1,0,DB,Michigan
Chuck Clark,Chuck Clark,NYJ,NY Jets,147,11,36,25,61,1.0,8,1,2,0,0,0,0,1,1,0,DB,Virginia Tech
Taron Johnson,Taron Johnson,BUF,Buffalo,147,11,38,23,61,1.0,1,1,5,2,23,23,1,1,1,1,DB,Weber State
Grover Stewart,Grover Stewart,IND,Indianapolis,147,15,26,35,61,3.5,11,8,3,0,0,0,0,1,1,0,DT,Albany State
A.J. Terrell,A.J. Terrell,ATL,Atlanta,147,15,46,15,61,0.0,0,2,5,2,1,1,0,0,0,0,DB,Clemson
Kobie Turner,Kobie Turner,LAR,LA Rams,147,15,34,27,61,7.0,57,9,4,0,0,0,0,1,1,0,DE,Wake Forest
Jeremiah Owusu-Koramoah,Jeremiah Owusu-Koramoah,CLE,Cleveland,147,8,39,22,61,3.0,14,10,3,1,0,0,0,1,0,0,LB,Notre Dame
Dru Phillips,Andru Phillips,NYG,NY Giants,147,12,38,23,61,1.0,5,7,0,0,0,0,0,2,0,0,DB,Kentucky
Antoine Winfield Jr.,Antoine Winfield,TB,Tampa Bay,155,9,34,26,60,2.0,11,2,3,0,0,0,0,0,1,1,DB,Minnesota
Brian Burns,Brian Burns,NYG,NY Giants,155,15,36,24,60,8.0,72,14,8,0,0,0,0,2,0,0,LB,Florida State
Coby Bryant,Coby Bryant,SEA,Seattle,155,15,41,19,60,0.0,0,1,5,3,87,69,1,1,0,0,DB,Cincinnati
Andre Cisco,Andre Cisco,JAX,Jacksonville,155,15,38,22,60,0.0,0,0,7,1,22,22,0,0,0,0,DB,Syracuse
Mike Hughes,Mike Hughes,ATL,Atlanta,159,13,47,12,59,0.0,0,3,6,0,0,0,0,0,0,0,DB,Central Florida
Ivan Pace Jr.,Ivan Pace,MIN,Minnesota,159,9,31,28,59,3.0,14,6,0,0,0,0,0,0,1,1,LB,Cincinnati
Edgerrin Cooper,Edgerrin Cooper,GB,Green Bay,159,11,37,22,59,3.5,33,7,4,1,22,22,0,1,1,0,LB,Texas A&M
Mohamoud Diabate,Mohamoud Diabate,CLE,Cleveland,159,11,29,30,59,0.0,0,5,3,0,0,0,0,0,0,0,LB,Utah
T.J. Watt,T.J. Watt,PIT,Pittsburgh,163,15,39,19,58,11.5,80,18,3,0,0,0,0,6,2,0,LB,Wisconsin
Jamel Dean,Jamel Dean,TB,Tampa Bay,163,11,44,14,58,0.0,0,0,6,1,0,0,0,1,0,0,DB,Auburn
C.J. Gardner-Johnson,T.J. Bass,PHI,Dallas,163,15,34,24,58,0.0,0,2,10,4,22,15,0,1,0,0,OG,Oregon
Marcus Jones,Marcus Jones,NE,New England,163,14,48,10,58,0.0,0,1,10,1,35,35,0,0,1,0,DB,Houston
Ar'Darius Washington,Ar'Darius Washington,BAL,Baltimore,163,15,41,17,58,1.0,7,5,7,2,33,32,0,1,0,0,DB,Texas Christian
Christian Gonzalez,Christian Gonzalez,NE,New England,163,15,49,9,58,0.0,0,1,11,2,2,2,0,0,1,1,DB,Oregon
Adam Butler,Adam Butler,LV,Las Vegas,169,15,32,25,57,3.5,27,7,2,0,0,0,0,0,0,0,DT,Vanderbilt
Alex Anzalone,Alex Anzalone,DET,Detroit,170,9,40,16,56,1.0,8,7,4,0,0,0,0,0,0,0,LB,Florida
Jalen Ramsey,Jalen Ramsey,MIA,Miami,170,15,36,20,56,1.0,12,5,9,2,7,7,0,0,0,0,DB,Florida State
Marlon Humphrey,Marlon Humphrey,BAL,Baltimore,170,14,42,14,56,0.5,3,4,13,6,37,37,1,1,0,0,DB,Alabama
Carlton Davis III,Carlton Davis,DET,Detroit,170,13,42,14,56,0.0,0,2,11,2,0,0,0,1,2,0,DB,Auburn
Denzel Perryman,Denzel Perryman,LAC,LA Chargers,174,11,39,16,55,1.0,7,2,0,0,0,0,0,0,0,0,LB,Miami
