PLR_NAME,Player,Team ABR,Team,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD,Position,College
Ashtyn Davis,Ashtyn Davis,NYJ,NY Jets,441,13,17,9,26,0.0,0,3,0,0,0,0,0,0,0,0,DB,California
Tershawn Wharton,Tershawn Wharton,KC,Kansas City,441,15,17,9,26,5.5,37,6,2,0,0,0,0,1,0,0,DT,Missouri-Rolla
Will McDonald IV,Will McDonald,NYJ,NY Jets,441,15,17,9,26,10.0,68,10,2,0,0,0,0,2,1,0,DE,Iowa State
Jonah Laulu,Jonah Laulu,LV,Las Vegas,441,15,12,14,26,1.0,10,2,3,0,0,0,0,0,0,0,DT,Oklahoma
Teair Tart,Teair Tart,LAC,LA Chargers,441,15,14,12,26,1.0,11,5,2,1,4,4,0,1,1,0,DT,Florida International
Tyler Davis,Tyler Davis,LAR,Green Bay,441,14,12,14,26,0.5,2,2,0,0,0,0,0,0,0,0,TE,Georgia Tech
Tyler Davis,Tyler Davis,LAR,LA Rams,441,14,12,14,26,0.5,2,2,0,0,0,0,0,0,0,0,DE,Clemson
Jakorian Bennett,Jakorian Bennett,LV,Las Vegas,441,10,15,11,26,0.0,0,0,8,0,0,0,0,0,0,0,DB,Maryland
Cameron Jordan,Cameron Jordan,NO,New Orleans,452,14,11,14,25,3.0,16,3,4,1,0,0,0,0,0,0,DE,California
Morgan Fox,Morgan Fox,LAC,LA Chargers,452,15,19,6,25,3.5,27,4,1,0,0,0,0,0,0,0,DE,Colorado State-Pueblo
Solomon Thomas,Solomon Thomas,NYJ,NY Jets,452,14,14,11,25,3.5,17,4,1,0,0,0,0,1,0,0,DE,Stanford
Dre'Mont Jones,Dre'Mont Jones,SEA,Seattle,452,15,13,12,25,4.0,35,7,1,0,0,0,0,1,0,0,DE,Ohio State
Chazz Surratt,Chazz Surratt,NYJ,NY Jets,452,15,17,8,25,0.0,0,2,0,0,0,0,0,0,0,0,LB,North Carolina
Ed Oliver,Ed Oliver,BUF,Buffalo,452,13,11,14,25,2.0,11,2,0,0,0,0,0,2,0,0,DT,Houston
T.J. Slaton,Storm Duck,GB,Miami Dolphins,452,14,11,14,25,1.0,1,1,0,0,0,0,0,0,0,0,CB,Louisville
Chase Young,Chase Young,NO,New Orleans,452,14,16,9,25,5.5,30,8,2,0,0,0,0,1,0,0,DE,Ohio State
Willie Gay,Willie Gay,NO,New Orleans,452,13,18,7,25,2.0,8,2,3,0,0,0,0,1,2,0,LB,Mississippi State
Alim McNeill,Alim McNeill,DET,Detroit,452,14,17,8,25,3.5,29,7,1,0,0,0,0,1,0,0,DT,North Carolina State
Tyler Lacy,Tyler Lacy,JAX,Jacksonville,452,13,10,15,25,0.0,0,2,0,0,0,0,0,0,0,0,DT,Oklahoma State
Dax Hill,Kamu Grugier-Hill,CIN,Minnesota,452,5,20,5,25,1.0,1,1,2,0,0,0,0,0,0,0,LB,Eastern Illinois
Storm Duck,Storm Duck,MIA,Miami,452,12,17,8,25,0.0,0,1,2,0,0,0,0,0,0,0,DB,Louisville
Mike Pennel Jr.,Mike Pennel,KC,Kansas City,465,15,10,14,24,3.0,6,3,0,0,0,0,0,1,0,0,DT,Colorado State-Pueblo
Folorunso Fatukasi,Folorunso Fatukasi,HOU,Houston,465,11,16,8,24,1.0,2,4,0,0,0,0,0,0,0,0,DT,Connecticut
Adoree' Jackson,Adoree' Jackson,NYG,NY Giants,465,12,15,9,24,0.0,0,1,4,0,0,0,0,1,1,0,DB,Southern California
James Smith-Williams,James Smith-Williams,ATL,Atlanta,465,10,12,12,24,1.0,6,7,0,0,0,0,0,0,0,0,DE,North Carolina State
Darrell Taylor,Darrell Taylor,CHI,Chicago,465,14,17,7,24,2.0,18,2,2,0,0,0,0,1,0,0,LB,Tennessee
Quinton Bell,Quinton Bell,MIA,Miami,465,15,14,10,24,1.0,9,3,1,0,0,0,0,1,0,0,LB,Prairie View A&M
Levi Onwuzurike,Levi Onwuzurike,DET,Detroit,465,14,13,11,24,1.5,7,1,0,0,0,0,0,1,0,0,DE,Washington
Naquan Jones,Naquan Jones,ARI,Arizona,465,10,9,15,24,3.0,21,3,2,0,0,0,0,0,0,0,DT,Michigan State
Calijah Kancey,Calijah Kancey,TB,Tampa Bay,465,10,20,4,24,6.5,41,10,0,0,0,0,0,1,1,0,DT,Pittsburgh
Junior Colson,Junior Colson,LAC,LA Chargers,465,9,13,11,24,0.0,0,0,1,0,0,0,0,0,0,0,LB,Michigan
Jeremiah Pharms Jr.,Jeremiah Pharms Jr.,NE,New England,465,14,13,11,24,2.0,5,4,0,0,0,0,0,0,0,0,DT,Friends (KS)
Sheldon Day,Sheldon Day,WSH,Washington,476,10,12,11,23,0.0,0,2,1,0,0,0,0,0,0,0,DT,Notre Dame
Dalvin Tomlinson,Dalvin Tomlinson,CLE,Cleveland,476,15,12,11,23,3.0,24,5,0,0,0,0,0,0,0,0,DT,Alabama
J.T. Gray,J.T. Gray,NO,New Orleans,476,14,12,11,23,0.0,0,0,0,0,0,0,0,1,0,0,DB,Mississippi State
Ahkello Witherspoon,Ahkello Witherspoon,LAR,LA Rams,476,11,19,4,23,0.0,0,0,6,0,0,0,0,0,0,0,DB,Colorado
Clelin Ferrell,Clelin Ferrell,WSH,Washington,476,12,11,12,23,3.5,21,4,0,0,0,0,0,1,0,0,DE,Clemson
Jake Hansen,Jake Hansen,HOU,Houston,476,14,14,9,23,1.0,0,1,0,0,0,0,0,0,0,0,LB,Illinois
L'Jarius Sneed,L'Jarius Sneed,TEN,Tennessee,476,5,19,4,23,0.0,0,2,0,0,0,0,0,0,0,0,DB,Louisiana Tech
Isaiah Rodgers,Isaiah Rodgers,PHI,Philadelphia,476,13,16,7,23,0.0,0,0,3,0,0,0,0,1,0,0,DB,Massachusetts
Michael Carter II,Michael Carter,NYJ,Arizona,476,12,20,3,23,0.0,0,1,1,0,0,0,0,0,1,0,RB,North Carolina
Michael Carter II,Michael Carter,NYJ,NY Jets,476,12,20,3,23,0.0,0,1,1,0,0,0,0,0,1,0,DB,Duke
Tre Brown,Tre Brown,SEA,Seattle,476,11,19,4,23,0.0,0,0,1,0,0,0,0,0,0,0,DB,Oklahoma
D.J. Davidson,D.J. Davidson,NYG,NY Giants,476,12,12,11,23,2.0,17,2,0,0,0,0,0,0,2,0,DT,Arizona State
Joe Tryon-Shoyinka,Joe Tryon-Shoyinka,TB,Tampa Bay,476,13,14,9,23,2.0,20,3,2,0,0,0,0,1,0,0,LB,Washington
Logan Hall,Logan Hall,TB,Tampa Bay,476,14,14,9,23,4.5,30,4,1,0,0,0,0,0,1,0,DE,Houston
Tyree Wilson,Tyree Wilson,LV,Las Vegas,476,14,15,8,23,4.0,31,6,0,0,0,0,0,1,0,0,DE,Texas Tech
Zach Harrison,Zach Harrison,ATL,Atlanta,476,15,5,18,23,1.0,2,3,2,0,0,0,0,0,0,0,DE,Ohio State
Carrington Valentine,Carrington Valentine,GB,Green Bay,476,12,10,13,23,0.0,0,0,4,1,20,20,0,0,0,0,DB,Kentucky
DaQuan Jones,DaQuan Jones,BUF,Buffalo,492,15,11,11,22,2.0,10,5,1,0,0,0,0,0,0,0,DT,Penn State
Ogbo Okoronkwo,Ogbonnia Okoronkwo,CLE,Cleveland,492,15,14,8,22,3.0,26,5,0,0,0,0,0,1,0,0,DE,Oklahoma
Ben Niemann,Ben Niemann,DET,Detroit,492,15,10,12,22,0.0,0,0,1,0,0,0,0,0,1,0,LB,Iowa
Ja'Sir Taylor,Ja'Sir Taylor,LAC,LA Chargers,492,13,12,10,22,0.0,0,1,5,0,0,0,0,0,1,0,DB,Wake Forest
Josh Hayes,Josh Hayes,TB,Tampa Bay,492,13,12,10,22,0.0,0,0,3,0,0,0,0,0,1,0,DB,Kansas State
Tristin McCollum,Tristin McCollum,PHI,Philadelphia,492,12,15,7,22,0.0,0,0,2,0,0,0,0,0,0,0,DB,Sam Houston State
James Pierre,James Pierre,PIT,Pittsburgh,492,13,16,6,22,0.0,0,0,2,1,18,18,0,2,0,0,DB,Florida Atlantic
Dennis Gardeck,Dennis Gardeck,ARI,Arizona,492,7,17,5,22,3.0,19,6,2,1,10,10,0,1,0,0,LB,Sioux Falls
Kayvon Thibodeaux,Kayvon Thibodeaux,NYG,NY Giants,492,10,12,10,22,3.0,27,6,1,0,0,0,0,0,0,0,LB,Oregon
SirVocea Dennis,SirVocea Dennis,TB,Tampa Bay,492,4,14,8,22,1.0,13,1,0,0,0,0,0,0,0,0,LB,Pittsburgh
Chop Robinson,David Martin-Robinson,MIA,Tennessee,492,15,13,9,22,6.0,43,7,4,0,0,0,0,0,0,0,TE,Temple
Leonard Taylor III,Leonard Taylor,NYJ,NY Jets,492,12,11,11,22,1.5,9,4,1,0,0,0,0,0,0,0,DT,Miami
Thomas Harper,Thomas Harper,LV,Las Vegas,492,13,11,11,22,0.0,0,0,1,0,0,0,0,0,1,0,DB,Notre Dame
Evan Anderson,Evan Anderson,SF,San Francisco,492,10,11,11,22,1.0,2,2,0,0,0,0,0,1,1,0,DT,Florida Atlantic
Nick Bellore,Nick Bellore,WSH,Washington,506,14,11,10,21,0.0,0,1,0,0,0,0,0,0,0,0,LB,Central Michigan
Joey Bosa,Joey Bosa,LAC,LA Chargers,506,12,16,5,21,5.0,24,5,0,0,0,0,0,2,0,0,LB,Ohio State
Charles Harris,Charles Harris,CAR/PHI,Philadelphia,506,12,15,6,21,3.0,18,4,0,0,0,0,0,0,0,0,DE,Missouri
Byron Cowart,Byron Cowart,CHI,Chicago,506,13,11,10,21,0.5,1,3,0,0,0,0,0,0,0,0,DT,Maryland
Josh Butler,Josh Butler,DAL,Dallas,506,5,17,4,21,1.0,0,0,5,0,0,0,0,0,0,0,DB,Michigan State
Nick Niemann,Nick Niemann,LAC,LA Chargers,506,11,11,10,21,0.0,0,0,1,0,0,0,0,0,0,0,LB,Iowa
Mykal Walker,Mykal Walker,WSH,Washington,506,15,8,13,21,0.0,0,0,0,0,0,0,0,0,1,0,LB,Fresno State
Jesse Luketa,Jesse Luketa,ARI,Arizona,506,10,12,9,21,3.0,19,4,0,0,0,0,0,1,0,0,LB,Penn State
Jordan Davis,Jordan Davis,PHI,Philadelphia,506,15,12,9,21,1.0,12,2,2,0,0,0,0,0,0,0,DT,Georgia
Christian Roland-Wallace,Christian Roland-Wallace,KC,Kansas City,506,15,14,7,21,0.0,0,2,1,1,0,0,0,1,0,0,DB,Southern California
Bryan Bresee,Bryan Bresee,NO,New Orleans,506,14,14,7,21,7.5,41,7,3,0,0,0,0,1,0,0,DT,Clemson
Kaiir Elam,Kaiir Elam,BUF,Buffalo,506,12,14,7,21,0.0,0,2,2,0,0,0,0,0,1,0,DB,Florida
Felix Anudike-Uzomah,Felix Anudike,KC,Kansas City,506,15,12,9,21,1.5,4,4,0,0,0,0,0,1,1,0,DE,Kansas State
Brandon Graham,Brandon Graham,PHI,Philadelphia,519,11,15,5,20,3.5,27,6,2,0,0,0,0,1,0,0,DE,Michigan
Tony Jefferson,Tony Jefferson,LAC,LA Chargers,519,6,12,8,20,0.0,0,0,0,0,0,0,0,0,0,0,DB,Oklahoma
Nick Vigil,Nick Vigil,DAL,Dallas,519,14,9,11,20,0.0,0,0,0,0,0,0,0,0,0,0,LB,Utah State
Tyquan Lewis,Tyquan Lewis,IND,Indianapolis,519,8,12,8,20,1.5,10,2,0,0,0,0,0,1,0,0,DE,Ohio State
Derek Barnett,Derek Barnett,HOU,Houston,519,14,12,8,20,4.0,17,2,0,0,0,0,0,2,1,1,DE,Tennessee
Nick McCloud,Nick McCloud,SF/NYG,San Francisco,519,13,12,8,20,0.0,0,1,1,0,0,0,0,0,0,0,DB,Notre Dame
Milton Williams,Milton Williams,PHI,Philadelphia,519,15,10,10,20,5.0,36,7,1,0,0,0,0,1,1,0,DT,Louisiana Tech
Josh Paschal,Joshua Paschal,DET,Detroit,519,12,14,6,20,2.0,21,5,0,0,0,0,0,0,1,0,DE,Kentucky
Myles Murphy,Myles Murphy,CIN,Cincinnati,519,11,11,9,20,0.0,0,1,1,0,0,0,0,0,0,0,DE,Clemson
Nick Herbig,Nick Herbig,PIT,Pittsburgh,519,11,12,8,20,4.5,30,4,0,0,0,0,0,4,2,0,LB,Wisconsin
James Williams,James Williams,TEN,Tennessee,519,11,14,6,20,0.0,0,0,0,0,0,0,0,0,0,0,LB,Miami
Austin Booker,Austin Booker,CHI,Chicago,519,15,14,6,20,1.5,3,3,0,0,0,0,0,0,0,0,DE,Kansas
Jaden Hicks,Jaden Hicks,KC,Kansas City,519,15,16,4,20,0.0,0,2,3,3,50,47,0,0,0,0,DB,Washington State
Roy Robertson-Harris,Roy Robertson-Harris,SEA/JAX,Seattle,532,15,10,9,19,2.0,11,4,1,0,0,0,0,0,0,0,DT,Texas-El Paso
Austin Johnson,Austin Johnson,BUF,Buffalo,532,14,7,12,19,0.5,0,0,2,2,9,5,0,0,0,0,DT,Penn State
Nick Thurman,,CAR,,532,9,6,13,19,0.0,0,1,0,0,0,0,0,0,0,0,,
Tre'Davious White,Tre'Davious White,BAL/LAR,Baltimore,532,9,14,5,19,0.0,0,0,5,0,0,0,0,0,0,0,DB,Louisiana State
Marcus Epps,Marcus Epps,LV,Las Vegas,532,3,16,3,19,0.0,0,2,0,0,0,0,0,0,0,0,DB,Wyoming
Payton Turner,Payton Turner,NO,New Orleans,532,13,9,10,19,2.0,16,3,4,0,0,0,0,2,0,0,DE,Houston
Khyiris Tonga,Khyiris Tonga,ARI,Arizona,532,11,6,13,19,0.0,0,0,0,0,0,0,0,0,0,0,DT,Brigham Young
Josh Newton,Josh Newton,CIN,Cincinnati,532,15,17,2,19,0.0,0,0,6,1,12,12,0,0,0,0,DB,Texas Christian
Aidan Hutchinson,Aidan Hutchinson,DET,Detroit,532,5,12,7,19,7.5,55,7,0,0,0,0,0,1,0,0,DE,Michigan
Zacch Pickens,Zacch Pickens,CHI,Chicago,532,9,8,11,19,1.0,7,1,0,0,0,0,0,0,0,0,DT,South Carolina
Dondrea Tillman,Dondrea Tillman,DEN,Denver,532,10,10,9,19,4.0,34,4,0,0,0,0,0,0,0,0,LB,Indiana (PA)
Brent Urban,Brent Urban,BAL,Baltimore,543,11,8,10,18,0.0,0,0,2,0,0,0,0,0,0,0,DE,Virginia
Sheldon Rankins,Sheldon Rankins,CIN,Cincinnati,543,7,10,8,18,1.0,7,1,0,0,0,0,0,0,0,0,DT,Louisville
DJ Reader,D.J. Reader,DET,Detroit,543,13,10,8,18,3.0,19,4,1,0,0,0,0,0,0,0,DT,Clemson
Kamu Grugier-Hill,Kamu Grugier-Hill,MIN,Minnesota,543,15,11,7,18,0.0,0,0,3,2,5,5,0,0,0,0,LB,Eastern Illinois
Jeremy Reaves,Jeremy Reaves,WSH,Washington,543,15,8,10,18,0.0,0,0,0,0,0,0,0,1,0,0,DB,South Alabama
Johnathan Abram,Jamin Davis,NO,Minnesota Vikings,543,3,10,8,18,0.0,0,0,2,1,30,30,0,0,0,0,LB,Kentucky
Neville Gallimore,Neville Gallimore,LAR,LA Rams,543,12,6,12,18,0.0,0,0,0,0,0,0,0,0,0,0,DT,Oklahoma
Broderick Washington,Broderick Washington,BAL,Baltimore,543,13,8,10,18,2.0,10,1,2,0,0,0,0,1,0,0,DT,Texas Tech
Chris Williams,Chris Williams,CHI,Chicago,543,15,16,2,18,3.0,26,3,0,0,0,0,0,0,0,0,DT,Wagner
Benito Jones,Benito Jones,MIA,Miami,543,15,8,10,18,0.0,0,3,0,0,0,0,0,0,0,0,DT,Mississippi
Ja'Marcus Ingram,Ja'Marcus Ingram,BUF,Buffalo,543,15,13,5,18,1.0,8,1,4,2,56,31,1,0,0,0,DB,Buffalo
Jamin Davis,Jamin Davis,MIN/WSH,Minnesota,543,9,12,6,18,1.0,6,2,0,0,0,0,0,0,0,0,LB,Kentucky
Baron Browning,Baron Browning,ARI/DEN,Arizona,543,11,10,8,18,2.0,7,5,0,0,0,0,0,0,0,0,LB,Ohio State
Winston Reid,Winston Reid,CLE,Cleveland,543,14,10,8,18,0.5,3,1,2,0,0,0,0,0,1,0,LB,Weber State
Yetur Gross-Matos,Yetur Gross-Matos,SF,San Francisco,543,9,13,5,18,4.0,24,5,0,0,0,0,0,0,0,0,DE,Penn State
Yasir Abdullah,Yasir Abdullah,JAX,Jacksonville,543,12,14,4,18,0.0,0,0,0,0,0,0,0,0,0,0,LB,Louisville
Devonte Wyatt,Devonte Wyatt,GB,Green Bay,543,11,13,5,18,4.0,25,7,0,0,0,0,0,0,2,0,DT,Georgia
JD Bertrand,JD Bertrand,ATL,Atlanta,543,11,13,5,18,0.0,0,0,0,0,0,0,0,0,0,0,LB,Notre Dame
Cedric Gray,Cedric Gray,TEN,Tennessee,543,5,12,6,18,0.0,0,0,0,0,0,0,0,0,0,0,LB,North Carolina
Dallas Turner,Dallas Turner,MIN,Minnesota,543,14,10,8,18,2.0,13,2,1,1,4,4,0,0,0,0,LB,Alabama
Cameron Mitchell,Cameron Mitchell,CLE,Cleveland,543,15,13,5,18,0.0,0,1,1,0,0,0,0,0,0,0,DB,Northwestern
Trevor Nowaske,Trevor Nowaske,DET,Detroit,543,12,12,6,18,2.0,8,2,1,1,8,8,0,0,0,0,LB,Saginaw Valley State
Linval Joseph,Linval Joseph,DAL,Dallas,565,15,7,10,17,2.0,20,2,0,0,0,0,0,1,0,0,DT,East Carolina
C.J. Mosley,C.J. Mosley,NYJ,NY Jets,565,4,13,4,17,0.0,0,0,0,0,0,0,0,0,0,0,LB,Alabama
Michael Pierce,Michael Pierce,BAL,Baltimore,565,9,6,11,17,2.0,16,1,1,0,0,0,0,0,0,0,DT,Samford
Chidobe Awuzie,Chidobe Awuzie,TEN,Tennessee,565,6,10,7,17,0.0,0,0,3,1,8,8,0,0,0,0,DB,Colorado
Taven Bryan,Taven Bryan,IND,Indianapolis,565,15,10,7,17,1.0,7,3,1,0,0,0,0,0,1,0,DT,Florida
Christian Wilkins,Christian Wilkins,LV,Las Vegas,565,5,11,6,17,2.0,15,2,0,0,0,0,0,0,0,0,DT,Clemson
Luke Masterson,Luke Masterson,LV,Las Vegas,565,4,10,7,17,0.0,0,0,0,0,0,0,0,0,0,0,LB,Wake Forest
Marco Wilson,Marco Wilson,CIN/NE,Cincinnati,565,14,10,7,17,0.0,0,0,2,0,0,0,0,0,0,0,DB,Florida
Zach Carter,Zachary Carter,LV/CIN,Las Vegas,565,10,10,7,17,1.5,1,0,0,0,0,0,0,0,0,0,DT,Florida
Phidarian Mathis,Phidarian Mathis,WSH,Washington,565,12,8,9,17,0.0,0,2,1,0,0,0,0,0,0,0,DT,Alabama
Robert Beal Jr.,Robert Beal,SF,San Francisco,565,14,11,6,17,0.0,0,0,0,0,0,0,0,0,0,0,DE,Georgia
Terell Smith,Terell Smith,CHI,Chicago,565,12,13,4,17,0.0,0,0,3,1,23,23,0,0,0,0,DB,Minnesota
Karl Brooks,Karl Brooks,GB,Green Bay,565,14,9,8,17,2.5,18,2,1,0,0,0,0,1,2,0,DE,Bowling Green
Otis Reese IV,Otis Reese,TEN,Tennessee,565,13,8,9,17,0.0,0,1,1,1,2,2,0,0,0,0,LB,Mississippi
Chris Braswell,Chris Braswell,TB,Tampa Bay,565,15,10,7,17,0.5,5,0,0,0,0,0,0,0,0,0,LB,Alabama
Jaquelin Roy,Jaquelin Roy,NE,New England,565,6,12,5,17,2.0,12,3,0,0,0,0,0,0,0,0,DT,Louisiana State
Maurice Hurst II,Maurice Hurst,CLE,Cleveland,581,8,9,7,16,0.5,3,4,0,0,0,0,0,0,0,0,DT,Michigan
George Odum,George Odum,SF,San Francisco,581,12,14,2,16,0.0,0,0,4,0,0,0,0,0,0,0,DB,Central Arkansas
Oren Burks,Oren Burks,PHI,Philadelphia,581,15,10,6,16,0.0,0,0,1,0,0,0,0,1,0,0,LB,Vanderbilt
Jaire Alexander,Jaire Alexander,GB,Green Bay,581,7,15,1,16,0.0,0,0,7,2,52,35,1,0,1,0,DB,Louisville
Dane Jackson,Dane Jackson,CAR,Carolina,581,7,12,4,16,0.0,0,1,1,0,0,0,0,0,0,0,DB,Pittsburgh
Isaiah Simmons,Isaiah Simmons,NYG,NY Giants,581,15,11,5,16,0.0,0,0,1,0,0,0,0,1,0,0,LB,Clemson
Isaiahh Loudermilk,Isaiahh Loudermilk,PIT,Pittsburgh,581,15,10,6,16,0.0,0,0,1,0,0,0,0,0,0,0,DT,Wisconsin
Jordan Elliott,Jordan Elliott,SF,San Francisco,581,13,12,4,16,0.0,0,2,0,0,0,0,0,0,0,0,DT,Missouri
Tommy Togiai,Tommy Togiai,HOU,Houston,581,6,6,10,16,1.0,9,2,2,0,0,0,0,0,0,0,DT,Ohio State
Israel Mukuamu,Israel Mukuamu,DAL,Dallas,581,15,11,5,16,0.0,0,0,2,2,20,15,0,0,0,0,DB,South Carolina
Cam Smith,Cam Smith,MIA,Miami,581,6,13,3,16,0.0,0,0,0,0,0,0,0,0,0,0,DB,South Carolina
D'Anthony Bell,D'Anthony Bell,CLE,Cleveland,581,15,8,8,16,0.0,0,1,0,0,0,0,0,0,0,0,DB,West Florida
Pat O'Connor,Pat O'Connor,DET,Detroit,593,10,4,11,15,1.0,12,2,0,0,0,0,0,0,0,0,DE,Eastern Michigan
Dawuane Smoot,Dawuane Smoot,BUF,Buffalo,593,9,11,4,15,1.5,2,4,1,0,0,0,0,2,0,0,DE,Illinois
Jonathan Allen,Jonathan Allen,WSH,Washington,593,6,13,2,15,2.0,7,2,0,0,0,0,0,0,0,0,DT,Alabama
Avonte Maddox,Avonte Maddox,PHI,Philadelphia,593,15,7,8,15,0.0,0,0,5,0,0,0,0,0,0,0,DB,Pittsburgh
Demetrius Flannigan-Fowles,Demetrius Flannigan-Fowles,SF,San Francisco,593,11,9,6,15,0.0,0,1,2,1,0,0,0,0,0,0,LB,Arizona
Cam Gill,Cam Gill,CAR,Carolina,593,8,4,11,15,0.0,0,0,0,0,0,0,0,0,0,0,LB,Wagner
K'Von Wallace,K'Von Wallace,SEA,Seattle,593,9,9,6,15,0.0,0,0,0,0,0,0,0,1,0,0,DB,Clemson
Joshua Uche,Josh Uche,KC/NE,Kansas City,593,12,12,3,15,2.0,11,2,0,0,0,0,0,0,0,0,LB,Michigan
Julian Okwara,Julian Okwara,ARI,Arizona,593,11,8,7,15,0.0,0,2,1,0,0,0,0,0,0,0,LB,Notre Dame
Jaylon Jones,Jaylon Jones,CHI,Chicago,593,8,13,2,15,0.0,0,0,2,0,0,0,0,0,0,0,DB,Mississippi
Jaylon Jones,Jaylon Jones,CHI,Indianapolis,593,8,13,2,15,0.0,0,0,2,0,0,0,0,0,0,0,DB,Texas A&M
James Lynch,James Lynch,TEN,Tennessee,593,15,3,12,15,0.0,0,1,2,0,0,0,0,0,0,0,DT,Baylor
Jordan Jackson,Jordan Jackson,DEN,Denver,593,15,2,13,15,0.0,0,0,0,0,0,0,0,0,0,0,DT,Air Force
Jalen Redmond,Jalen Redmond,MIN,Minnesota,593,11,10,5,15,1.0,7,6,2,0,0,0,0,0,0,0,DE,Oklahoma
Isaiah Foskey,Isaiah Foskey,NO,New Orleans,593,14,4,11,15,0.0,0,0,0,0,0,0,0,0,0,0,DE,Notre Dame
Elijah Chatman,Elijah Chatman,NYG,NY Giants,593,15,9,6,15,1.0,10,2,0,0,0,0,0,0,1,0,DT,Southern Methodist
Christian Harris,Christian Harris,HOU,Houston,593,2,9,6,15,1.0,9,1,0,0,0,0,0,0,0,0,LB,Alabama
Jalyx Hunt,Jalyx Hunt,PHI,Philadelphia,593,14,8,7,15,1.5,13,0,1,0,0,0,0,2,0,0,LB,Houston Baptist
Von Miller,Von Miller,BUF,Buffalo,610,11,10,4,14,4.0,31,5,0,0,0,0,0,0,0,0,LB,Texas A&M
DeMarcus Lawrence,Demarcus Lawrence,DAL,Dallas,610,4,7,7,14,3.0,20,4,0,0,0,0,0,1,0,0,DE,Boise State
Ty Summers,Ty Summers,NYG,NY Giants,610,14,8,6,14,0.0,0,1,0,0,0,0,0,0,0,0,LB,Texas Christian
Jalyn Holmes,Jalyn Holmes,WSH/NYJ,Washington,610,14,9,5,14,2.0,11,4,0,0,0,0,0,0,0,0,DT,Ohio State
Casey Toohill,Casey Toohill,BUF,Buffalo,610,13,9,5,14,1.0,8,2,1,0,0,0,0,0,1,0,DE,Stanford
Khalil Dorsey,Khalil Dorsey,DET,Detroit,610,14,8,6,14,0.0,0,1,2,0,0,0,0,0,0,0,DB,Northern Arizona
Kindle Vildor,Kindle Vildor,DET,Detroit,610,15,10,4,14,0.0,0,0,2,0,0,0,0,0,0,0,DB,Georgia Southern
Raekwon Davis,Raekwon Davis,IND,Indianapolis,610,15,7,7,14,0.0,0,1,1,0,0,0,0,0,0,0,DT,Alabama
D'Marco Jackson,D'Marco Jackson,NO,New Orleans,610,10,8,6,14,0.0,0,0,0,0,0,0,0,0,0,0,LB,Appalachian State
Theo Jackson,Theo Jackson,MIN,Minnesota,610,15,9,5,14,0.0,0,0,3,1,3,3,0,0,0,0,DB,Tennessee
John Ridgeway III,John Ridgeway,NO,New Orleans,610,11,7,7,14,0.0,0,1,0,0,0,0,0,0,0,0,DT,Arkansas
Jay Tufele,Jay Tufele,CIN,Cincinnati,610,11,5,9,14,0.5,1,1,1,0,0,0,0,0,0,0,DT,Southern California
Tavierre Thomas,Tavierre Thomas,TB,Tampa Bay,610,15,8,6,14,0.0,0,0,0,0,0,0,0,0,0,0,DB,Ferris State
Tyrek Funderburk,Tyrek Funderburk,TB,Tampa Bay,610,11,10,4,14,0.0,0,0,1,0,0,0,0,1,0,0,DB,Appalachian State
Maason Smith,Maason Smith,JAX,Jacksonville,610,9,8,6,14,2.0,6,2,2,0,0,0,0,0,0,0,DT,Louisiana State
Colby Wooden,Colby Wooden,GB,Green Bay,610,10,7,7,14,0.0,0,2,1,0,0,0,0,0,0,0,DE,Auburn
Tyrus Wheat,Tyrus Wheat,DAL,Dallas,610,8,6,8,14,0.5,0,1,0,0,0,0,0,0,0,0,DE,Mississippi State
Denico Autry,Denico Autry,HOU,Houston,627,9,8,5,13,3.0,24,3,3,0,0,0,0,0,0,0,DE,Mississippi State
DeShawn Williams,DeShawn Williams,CAR,Carolina,627,10,6,7,13,0.5,4,0,0,0,0,0,0,0,0,0,DE,Clemson
Sam Eguavoen,Samuel Eguavoen,NYJ,NY Jets,627,15,7,6,13,0.0,0,0,0,0,0,0,0,0,0,0,LB,Texas Tech
Eddie Goldman,Eddie Goldman,ATL,Atlanta,627,15,7,6,13,1.0,9,1,0,0,0,0,0,0,0,0,DT,Florida State
Andrew Billings,Andrew Billings,CHI,Chicago,627,8,9,4,13,1.0,10,2,0,0,0,0,0,1,0,0,DT,Baylor
Carl Lawson,Carl Lawson,DAL,Dallas,627,13,7,6,13,5.0,39,4,0,0,0,0,0,1,0,0,DE,Auburn
Kentavius Street,Kentavius Street,ATL,Atlanta,627,11,7,6,13,1.0,7,4,0,0,0,0,0,0,0,0,DT,North Carolina State
Jacob Martin,Jacob Martin,CHI,Chicago,627,9,8,5,13,3.0,6,3,0,0,0,0,0,0,0,0,DE,Temple
D'Angelo Ross,D'Angelo Ross,HOU,Houston,627,8,10,3,13,0.0,0,0,0,0,0,0,0,0,0,0,DB,New Mexico
Ka'dar Hollman,Ka'dar Hollman,BAL/HOU,Houston,627,10,11,2,13,0.0,0,0,2,0,0,0,0,0,0,0,DB,Toledo
Devin White,Devin White,HOU,Houston,627,6,9,4,13,0.0,0,0,0,0,0,0,0,0,0,0,LB,Louisiana State
Shemar Jean-Charles,Shemar Jean-Charles,NO,New Orleans,627,6,5,8,13,0.0,0,0,2,1,0,0,0,0,0,0,DB,Appalachian State
