PLR_NAME,TEAM,RK,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG
Johnny Hekker,CAR,84,15,0,2,0.0,0,0.0,0.0,0,0,0,0,0,,39.6
Miles Killebrew,PIT,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,,39.6
Tyler Boyd,TEN,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6
Kendrick Bourne,NE,84,10,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.6,39.6
Joe Mixon,HOU,84,12,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.9,39.6
Deebo Samuel Sr.,SF,84,14,0,0,0.0,0,0.0,0.0,0,0,0,1,4,0.0,39.6
DJ Moore,CHI,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.4,39.6
Jakobi Meyers,LV,84,13,0,0,0.0,0,0.0,0.0,0,0,0,1,10,0.0,39.6
Saquon Barkley,PHI,84,15,0,0,0.0,0,0.0,0.0,0,0,0,1,2,0.0,39.6
Darnell Mooney,ATL,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6
Ty Chandler,MIN,84,15,0,0,0.0,0,0.0,0.0,0,0,0,1,1,1.4,39.6
Tutu Atwell,LAR,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1.8,39.6
Penei Sewell,DET,84,15,0,0,0.0,0,0.0,0.0,0,0,0,1,1,1.8,39.6
Malik Nabers,NYG,84,13,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2.5,39.6
