PLR_NAME,TEAM,RK,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Darnell Washington,PIT,188,15,18,24,192,10.7,1,29,3,12.8,0,0,123,9
Tylan Wallace,BAL,190,15,10,10,191,19.1,1,84,2,12.7,0,0,119,5
Ricky Pearsall,SF,191,9,17,28,190,11.2,1,46,2,21.1,0,0,63,8
Taysom Hill,NO,192,8,23,31,187,8.1,0,34,2,23.4,1,1,137,8
Zack Moss,CIN,192,8,23,27,187,8.1,1,21,1,23.4,0,0,194,11
Antonio Gibson,NE,194,15,19,22,186,9.8,0,50,2,12.4,0,0,191,9
Stone Smartt,LAC,195,13,14,17,185,13.2,0,31,4,14.2,1,1,65,9
Ray Davis,BUF,196,15,14,15,184,13.1,2,63,2,12.3,0,0,147,7
Josh Reynolds,DEN/JAX,197,7,12,21,183,15.3,1,49,4,26.1,0,0,35,8
Adam Trautman,DEN,197,15,12,19,183,15.3,2,37,2,12.2,0,0,95,8
John Metchie III,HOU,199,11,17,25,182,10.7,1,28,2,16.5,0,0,62,9
Kareem Hunt,KC,200,12,23,32,176,7.7,0,26,1,14.7,0,0,216,10
Trey Palmer,TB,201,13,12,22,172,14.3,1,27,2,13.2,0,0,42,7
Chuba Hubbard,CAR,202,15,43,54,171,4.0,1,20,1,11.4,3,2,245,10
Luke McCaffrey,WSH,203,15,18,24,168,9.3,0,30,2,11.2,0,0,97,8
Rhamondre Stevenson,NE,203,14,33,40,168,5.1,1,16,0,12.0,1,0,237,8
Dare Ogunbowale,HOU,205,15,16,24,166,10.4,1,31,2,11.1,0,0,149,7
Kyren Williams,LAR,205,15,31,37,166,5.4,2,26,1,11.1,0,0,187,6
Jalen Brooks,DAL,207,12,11,29,165,15.0,1,41,2,13.8,0,0,37,7
Cedrick Wilson Jr.,NO,208,12,13,17,159,12.2,1,25,1,13.3,0,0,57,7
DJ Turner,LV,209,12,16,29,158,9.9,1,30,2,13.2,0,0,83,9
Erick All Jr.,CIN,209,9,20,22,158,7.9,0,28,1,17.6,0,0,87,8
Derrick Henry,BAL,211,15,15,17,152,10.1,2,27,2,10.1,0,0,176,8
Lucas Krull,DEN,212,11,18,22,149,8.3,0,23,1,13.5,0,0,63,7
Elijah Higgins,ARI,212,15,18,21,149,8.3,2,23,1,9.9,0,0,69,8
Mo Alie-Cox,IND,214,15,12,20,147,12.3,1,22,2,9.8,0,0,49,7
Christian McCaffrey,SF,215,4,15,19,146,9.7,0,30,2,36.5,1,1,98,6
Raheem Mostert,MIA,216,11,17,21,145,8.5,0,25,1,13.2,0,0,135,10
Brian Robinson Jr.,WSH,217,12,17,22,144,8.5,0,32,1,12.0,0,0,160,4
Robert Woods,HOU,218,13,16,25,143,8.9,0,32,1,11.0,2,0,65,9
Tanner Hudson,CIN,218,10,18,22,143,7.9,1,19,0,14.3,1,1,89,8
