PLR_NAME,Player,Team ABR,Team,RK,GP,CMP,ATT,CMP%,YDS,AVG,YDS/G,LNG,TD,INT,SACK,SYL,QBR,RTG,Position,College
Stefon Diggs,Stefon Diggs,HOU,Houston,73,8,1,1,100.0,13,13.0,1.6,13,0,0,0,0,14.6,118.8,WR,Maryland
Tyson Bagent,Tyson Bagent,CHI,Chicago,74,4,2,2,100.0,11,5.5,2.8,6,0,0,0,0,52.5,89.6,QB,Shepherd
Mitchell Trubisky,Mitchell Trubisky,BUF,Buffalo,75,7,3,4,75.0,9,2.3,1.3,4,0,0,0,0,3.1,77.1,QB,North Carolina
Clayton Tune,Clayton Tune,ARI,Arizona,76,5,2,2,100.0,8,4.0,1.6,7,0,0,0,0,0.3,83.3,QB,Houston
Amon-Ra St. Brown,Amon-Ra St. Brown,DET,Detroit,77,15,1,1,100.0,7,7.0,0.5,7,1,0,0,0,99.5,135.4,WR,Southern California
Kyle Trask,Kyle Trask,TB,Tampa Bay,78,3,1,1,100.0,5,5.0,1.7,5,0,0,0,0,89.9,87.5,QB,Florida
Bryan Anger,Bryan Anger,DAL,Dallas,79,15,1,2,50.0,4,2.0,0.3,4,0,0,0,0,,56.3,P,California
Riley Dixon,Riley Dixon,DEN,Denver,80,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,,79.2,P,Syracuse
JK Scott,JK Scott,LAC,LA Chargers,80,15,1,1,100.0,3,3.0,0.2,3,0,0,0,0,100.0,79.2,P,Alabama
David Montgomery,David Montgomery,DET,Detroit,80,14,1,1,100.0,3,3.0,0.2,3,1,0,0,0,100.0,118.8,RB,Iowa State
Josh Johnson,Josh Johnson,BAL,Baltimore,83,4,1,1,100.0,1,1.0,0.3,1,0,0,1,5,1.6,79.2,QB,San Diego
Johnny Hekker,Johnny Hekker,CAR,Carolina,84,15,0,2,0.0,0,0.0,0.0,0,0,0,0,0,,39.6,P,Oregon State
Miles Killebrew,Miles Killebrew,PIT,Pittsburgh,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6,DB,Southern Utah
Tyler Boyd,Tyler Boyd,TEN,Tennessee,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6,WR,Pittsburgh
Kendrick Bourne,Kendrick Bourne,NE,New England,84,10,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.6,39.6,WR,Eastern Washington
Joe Mixon,Joe Mixon,HOU,Houston,84,12,0,1,0.0,0,0.0,0.0,0,0,0,0,0,0.9,39.6,RB,Oklahoma
Deebo Samuel Sr.,Deebo Samuel,SF,San Francisco,84,14,0,0,0.0,0,0.0,0.0,0,0,0,1,4,0.0,39.6,WR,South Carolina
DJ Moore,D.J. Moore,CHI,Chicago,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.4,39.6,WR,Maryland
Jakobi Meyers,Jakobi Meyers,LV,Las Vegas,84,13,0,0,0.0,0,0.0,0.0,0,0,0,1,10,0.0,39.6,WR,North Carolina State
Saquon Barkley,Saquon Barkley,PHI,Philadelphia,84,15,0,0,0.0,0,0.0,0.0,0,0,0,1,2,0.0,39.6,RB,Penn State
Darnell Mooney,Darnell Mooney,ATL,Atlanta,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,3.8,39.6,WR,Tulane
Ty Chandler,Ty Chandler,MIN,Minnesota,84,15,0,0,0.0,0,0.0,0.0,0,0,0,1,1,1.4,39.6,RB,North Carolina
Tutu Atwell,Penei Sewell,LAR,Detroit Lions,84,15,0,1,0.0,0,0.0,0.0,0,0,0,0,0,1.8,39.6,OT,Oregon
Penei Sewell,Penei Sewell,DET,Detroit,84,15,0,0,0.0,0,0.0,0.0,0,0,0,1,1,1.8,39.6,OT,Oregon
Malik Nabers,Malik Nabers,NYG,NY Giants,84,13,0,1,0.0,0,0.0,0.0,0,0,0,0,0,2.5,39.6,WR,Louisiana State
