Player,Position,Team,College
Dakoda Shepley,Offensive Tackle,Dallas Cowboys,British Columbia
Michael Hoecht,Linebacker,Los Angeles Rams,Brown
Tom Kennedy,Wide Receiver,Detroit Lions,Bryant
Joe Andreessen,Linebacker,Buffalo Bills,Buffalo
Kayode Awosika,Guard,Detroit Lions,Buffalo
Demone Harris,Defensive End,Atlanta Falcons,Buffalo
Ja'Marcus Ingram,Cornerback,Buffalo Bills,Buffalo
Cam Lewis,Cornerback,Buffalo Bills,Buffalo
Khalil Mack,Linebacker,Los Angeles Chargers,Buffalo
Tyler Allgeier,Running Back,Atlanta Falcons,BYU
Zayne Anderson,Safety,Green Bay Packers,BYU
Chris Brooks,Running Back,Green Bay Packers,BYU
Brady Christensen,Guard,Carolina Panthers,BYU
Michael Davis,Cornerback,Washington Commanders,BYU
Blake Freeland,Offensive Tackle,Indianapolis Colts,BYU
Jaren Hall,Quarterback,Seattle Seahawks,BYU
Puka Nacua,Wide Receiver,Los Angeles Rams,BYU
Ryan Rehkow,Punter,Cincinnati Bengals,BYU
Kingsley Suamataia,Offensive Tackle,Kansas City Chiefs,BYU
Sione Takitaki,Linebacker,New England Patriots,BYU
Khyiris Tonga,Defensive Tackle,Arizona Cardinals,BYU
Kyle Van Noy,Linebacker,Baltimore Ravens,BYU
Fred Warner,Linebacker,San Francisco 49ers,BYU
Jamaal Williams,Running Back,New Orleans Saints,BYU
Zach Wilson,Quarterback,Denver Broncos,BYU
Keenan Allen,Wide Receiver,Chicago Bears,California
Bryan Anger,Punter,Dallas Cowboys,California
Camryn Bynum,Safety,Minnesota Vikings,California
Jake Curhan,Offensive Tackle,Chicago Bears,California
Ashtyn Davis,Safety,New York Jets,California
Jared Goff,Quarterback,Detroit Lions,California
Cameron Goode,Linebacker,Miami Dolphins,California
Jaylinn Hawkins,Safety,New England Patriots,California
Elijah Hicks,Safety,Chicago Bears,California
Cameron Jordan,Defensive End,New Orleans Saints,California
Patrick McMorris,Safety,Miami Dolphins,California
Patrick Mekari,Guard,Baltimore Ravens,California
Aaron Rodgers,Quarterback,New York Jets,California
Jake Tonges,Tight End,San Francisco 49ers,California
Julian Hill,Tight End,Miami Dolphins,Campbell
Chris Manhertz,Tight End,New York Giants,Canisius
Robert Rochell,Cornerback,Green Bay Packers,Central Arkansas
Tremon Smith,Cornerback,Denver Broncos,Central Arkansas
Nick Bellore,Linebacker,Washington Commanders,Central Michigan
Tyler Conklin,Tight End,New York Jets,Central Michigan
Luke Goedeke,Offensive Tackle,Tampa Bay Buccaneers,Central Michigan
Sean Murphy-Bunting,Cornerback,Arizona Cardinals,Central Michigan
Bernhard Raimann,Offensive Tackle,Indianapolis Colts,Central Michigan
Cooper Rush,Quarterback,Dallas Cowboys,Central Michigan
Alex Highsmith,Linebacker,Pittsburgh Steelers,Charlotte
Larry Ogunjobi,Defensive Tackle,Pittsburgh Steelers,Charlotte
Corey Levin,Center,Tennessee Titans,Chattanooga
Cole Strange,Guard,New England Patriots,Chattanooga
Mike Boone,Running Back,Carolina Panthers,Cincinnati
Jowon Briggs,Defensive Tackle,Cleveland Browns,Cincinnati
Coby Bryant,Cornerback,Seattle Seahawks,Cincinnati
Bryan Cook,Safety,Kansas City Chiefs,Cincinnati
Josiah Deguara,Tight End,Jacksonville Jaguars,Cincinnati
Jerome Ford,Running Back,Cleveland Browns,Cincinnati
Darrick Forrest,Safety,Washington Commanders,Cincinnati
Sauce Gardner,Cornerback,New York Jets,Cincinnati
Travis Kelce,Tight End,Kansas City Chiefs,Cincinnati
Alec Pierce,Wide Receiver,Indianapolis Colts,Cincinnati
Desmond Ridder,Quarterback,Las Vegas Raiders,Cincinnati
Tyler Scott,Wide Receiver,Chicago Bears,Cincinnati
Tre Tucker,Wide Receiver,Las Vegas Raiders,Cincinnati
Josh Whyle,Tight End,Tennessee Titans,Cincinnati
Eric Wilson,Linebacker,Green Bay Packers,Cincinnati
Davis Allen,Tight End,Los Angeles Rams,Clemson
Andrew Booth Jr.,Cornerback,Dallas Cowboys,Clemson
Bryan Bresee,Defensive Tackle,New Orleans Saints,Clemson
Jackson Carman,Offensive Tackle,Miami Dolphins,Clemson
Tyler Davis,Defensive Tackle,Los Angeles Rams,Clemson
