PLR_NAME,TEAM,RK,GP,SOLO,AST,TOT,SACK,YDS,TFL,PD,INT,YDS.1,LNG,TD,FF,FR,FTD
Malcolm Roach,DEN,293,15,17,23,40,2.5,14,4,2,0,0,0,0,1,1,0
Baylon Spector,BUF,293,11,22,18,40,1.5,1,2,0,0,0,0,0,0,1,0
Grant Stuard,IND,293,15,25,15,40,0.0,0,2,0,0,0,0,0,0,0,0
LaBryan Ray,CAR,293,14,15,25,40,1.0,5,2,0,0,0,0,0,0,0,0
Elijah Hicks,CHI,293,12,24,16,40,0.0,0,0,2,0,0,0,0,0,2,0
Jonathan Owens,CHI,293,15,24,16,40,0.0,0,1,2,1,0,0,0,1,1,0
Bobby Brown III,LAR,293,15,13,27,40,0.0,0,3,0,0,0,0,0,0,0,0
Cobie Durant,LAR,293,13,28,12,40,1.0,11,4,6,1,0,0,0,1,0,0
Nolan Smith Jr.,PHI,293,15,21,19,40,6.5,42,7,2,0,0,0,0,0,2,0
Jaquan Brisker,CHI,293,5,23,17,40,1.0,9,3,2,1,0,0,0,1,0,0
Leonard Floyd,SF,306,15,23,16,39,8.5,40,8,1,0,0,0,0,1,0,0
Josh Hines-Allen,JAX,306,15,23,16,39,7.0,46,8,2,0,0,0,0,1,1,0
Pat Jones II,MIN,306,14,19,20,39,7.0,47,9,0,0,0,0,0,1,0,0
Darrell Baker Jr.,TEN,306,15,31,8,39,0.0,0,1,5,0,0,0,0,0,0,0
Rashan Gary,GB,306,14,21,18,39,6.5,35,6,1,0,0,0,0,1,0,0
Percy Butler,WSH,306,15,23,16,39,0.0,0,2,1,0,0,0,0,0,0,0
Darius Muasau,NYG,306,13,20,19,39,0.0,0,2,1,1,1,1,0,0,0,0
Tuli Tuipulotu,LAC,306,15,23,16,39,7.5,19,9,2,0,0,0,0,1,0,0
Chau Smith-Wade,CAR,306,14,24,15,39,0.0,0,1,1,1,3,3,0,1,0,0
Daryl Worley,TEN,315,7,22,16,38,0.0,0,0,2,1,0,0,0,0,0,0
Trey Hendrickson,CIN,315,15,28,10,38,13.5,98,15,5,0,0,0,0,2,0,0
Poona Ford,LAC,315,15,23,15,38,3.0,19,8,5,1,3,3,0,0,0,0
Vita Vea,TB,315,14,25,13,38,6.0,39,9,1,0,0,0,0,0,0,0
D.J. Jones,DEN,315,15,20,18,38,0.5,2,1,3,0,0,0,0,0,1,0
Daron Payne,WSH,315,15,21,17,38,4.0,37,5,1,0,0,0,0,0,0,0
Nnamdi Madubuike,BAL,315,15,19,19,38,5.5,18,9,1,0,0,0,0,1,0,0
Javon Kinlaw,NYJ,315,15,25,13,38,3.5,37,4,0,0,0,0,0,1,1,0
Marist Liufau,DAL,315,15,21,17,38,1.5,9,3,3,0,0,0,0,2,1,0
Jer'Zhan Newton,WSH,315,14,18,20,38,2.0,8,6,1,0,0,0,0,1,1,0
Khalil Mack,LAC,325,14,18,19,37,5.0,33,5,8,0,0,0,0,2,1,0
Shelby Harris,CLE,325,14,18,19,37,1.5,9,5,2,0,0,0,0,1,0,0
Chris Jones,KC,325,15,19,18,37,5.0,23,9,0,0,0,0,0,1,0,0
Larry Ogunjobi,PIT,325,13,14,23,37,1.5,11,5,0,0,0,0,0,0,0,0
John Franklin-Myers,DEN,325,15,17,20,37,5.5,40,7,0,0,0,0,0,0,0,0
Isaac Yiadom,SF,325,15,30,7,37,0.0,0,0,6,1,11,11,0,1,1,0
Mike Brown,TEN,325,15,18,19,37,0.0,0,0,1,0,0,0,0,0,0,0
Marte Mapu,NE,325,8,16,21,37,0.5,5,1,6,1,6,6,0,3,0,0
Kwity Paye,IND,325,13,26,11,37,7.0,43,8,0,0,0,0,0,1,0,0
Micah Parsons,DAL,325,11,25,12,37,9.5,70,9,1,0,0,0,0,2,0,0
Joseph Ossai,CIN,325,15,21,16,37,4.0,27,4,0,0,0,0,0,1,0,0
Travis Jones,BAL,325,15,20,17,37,1.0,11,4,0,0,0,0,0,0,0,0
Dante Stills,ARI,325,14,16,21,37,4.5,32,4,1,0,0,0,0,1,0,0
Josh Sweat,PHI,338,15,24,12,36,8.0,54,9,2,0,0,0,0,0,0,0
Arden Key,TEN,338,15,23,13,36,6.5,38,11,1,0,0,0,0,2,1,0
Mike Danna,KC,338,11,17,19,36,1.5,14,2,1,0,0,0,0,1,0,0
Eric Stokes,GB,338,14,25,11,36,0.0,0,0,0,0,0,0,0,0,0,0
Kader Kohou,MIA,338,13,27,9,36,0.0,0,3,7,2,2,2,0,1,1,0
Kingsley Enagbare,GB,338,14,17,19,36,4.5,37,6,0,0,0,0,0,2,0,0
Pat Surtain II,DEN,338,14,27,9,36,0.0,0,1,11,4,132,100,1,0,0,0
Mazi Smith,DAL,338,15,19,17,36,0.5,4,3,0,0,0,0,0,0,0,0
Jaylen McCollough,LAR,338,15,22,14,36,0.0,0,0,4,4,6,4,1,0,0,0
Ronnie Hickman,CLE,338,12,25,11,36,0.0,0,1,1,0,0,0,0,0,1,0
Rodney McLeod Jr.,CLE,348,15,26,9,35,0.0,0,2,4,0,0,0,0,0,1,1
Shaq Thompson,CAR,348,4,19,16,35,0.0,0,2,0,0,0,0,0,0,0,0
Jonathan Bullard,MIN,348,15,18,17,35,0.0,0,6,2,0,0,0,0,0,0,0
Anthony Nelson,TB,348,15,22,13,35,3.0,21,5,1,0,0,0,0,1,1,0
Matthew Judon,ATL,348,15,20,15,35,4.5,33,5,5,1,27,27,1,0,0,0
Quinnen Williams,NYJ,348,14,24,11,35,6.0,50,8,0,0,0,0,0,0,0,0
AJ Epenesa,BUF,348,15,19,16,35,5.0,44,6,2,0,0,0,0,2,0,0
Brandin Echols,NYJ,348,14,25,10,35,0.0,0,1,3,2,0,0,0,0,1,0
Jonah Elliss,DEN,348,15,23,12,35,5.0,28,7,2,0,0,0,0,0,0,0
Kyle Van Noy,BAL,357,14,21,13,34,10.5,69,12,2,0,0,0,0,2,1,0
Shaquill Griffin,MIN,357,15,27,7,34,0.0,0,1,6,2,28,28,0,0,0,0
Marshon Lattimore,WSH/NO,357,9,25,9,34,0.0,0,0,5,0,0,0,0,0,0,0
Donte Jackson,PIT,357,14,24,10,34,0.0,0,2,8,5,88,49,0,0,1,0
Krys Barnes,ARI,357,15,19,15,34,2.0,5,3,0,0,0,0,0,0,0,0
Alex Highsmith,PIT,357,9,21,13,34,6.0,40,9,1,0,0,0,0,1,0,0
Boye Mafe,SEA,357,13,19,15,34,6.0,59,8,3,0,0,0,0,1,0,0
Arnold Ebiketie,ATL,357,15,22,12,34,5.0,15,6,2,0,0,0,0,0,1,0
Cam Hart,LAC,357,12,25,9,34,0.5,1,0,6,0,0,0,0,1,0,0
Derick Hall,SEA,357,15,19,15,34,7.0,39,5,0,0,0,0,0,2,1,1
Byron Murphy II,SEA,357,12,10,24,34,0.5,5,2,0,0,0,0,0,0,0,0
Will Anderson Jr.,HOU,357,13,25,9,34,10.5,82,14,1,0,0,0,0,1,1,0
Dante Fowler Jr.,WSH,369,15,22,11,33,9.5,64,13,1,1,67,67,1,1,0,0
Luke Gifford,TEN,369,14,23,10,33,0.0,0,1,1,1,0,0,0,0,0,0
Marcus Williams,BAL,369,11,26,7,33,0.0,0,1,2,0,0,0,0,0,1,0
Charles Snowden,LV,369,14,14,19,33,1.5,14,3,4,0,0,0,0,0,0,0
Odafe Oweh,BAL,369,15,20,13,33,8.0,56,7,0,0,0,0,0,1,0,0
Otito Ogbonnia,LAC,369,15,13,20,33,0.0,0,0,0,0,0,0,0,0,0,0
Josh Jobe,SEA,369,9,25,8,33,0.0,0,0,7,1,33,33,0,0,0,0
Jack Sanborn,CHI,369,15,17,16,33,1.5,9,2,3,0,0,0,0,0,0,0
George Karlaftis,KC,369,15,19,14,33,7.0,36,8,4,0,0,0,0,0,0,0
Kool-Aid McKinstry,NO,369,12,26,7,33,0.0,0,2,5,0,0,0,0,0,0,0
Troy Hill,TB/CAR,379,8,20,12,32,0.0,0,1,1,0,0,0,0,0,0,0
Za'Darius Smith,CLE/DET,379,15,19,13,32,8.0,50,8,0,0,0,0,0,0,0,0
Khalen Saunders,NO,379,10,14,18,32,2.0,18,2,1,1,37,37,0,0,0,0
Kenny Clark,GB,379,14,18,14,32,1.0,7,4,1,0,0,0,0,0,2,0
Jeremiah Ledbetter,JAX,379,13,19,13,32,2.0,15,8,0,0,0,0,0,0,0,0
Dorance Armstrong,WSH,379,14,17,15,32,4.0,23,5,0,0,0,0,0,1,0,0
Nathan Shepherd,NO,379,14,13,19,32,1.5,11,3,0,0,0,0,0,0,0,0
Samuel Womack III,IND,379,15,22,10,32,0.0,0,0,9,2,4,4,0,0,0,0
Jarrian Jones,JAX,379,15,24,8,32,1.0,9,1,7,1,0,0,0,0,0,0
Demani Richardson,CAR,379,12,20,12,32,0.0,0,0,2,1,3,3,0,0,0,0
Dadrion Taylor-Demerson,ARI,379,15,20,12,32,0.0,0,2,5,0,0,0,0,0,0,0
Clark Phillips III,ATL,379,14,25,7,32,0.0,0,2,3,1,45,45,0,1,1,0
Cole Bishop,BUF,379,14,19,13,32,0.0,0,1,1,0,0,0,0,1,0,0
Jaylen Watson,KC,379,6,21,11,32,0.0,0,0,6,0,12,0,0,0,0,0
Alex Singleton,DEN,393,3,17,14,31,0.0,0,1,1,1,21,21,0,0,0,0
Damontae Kazee,PIT,393,13,22,9,31,0.0,0,0,2,1,5,5,0,0,0,0
Micheal Clemons,NYJ,393,15,15,16,31,4.5,40,4,0,0,0,0,0,1,0,0
Chad Muma,JAX,393,15,12,19,31,0.0,0,0,0,0,0,0,0,0,0,0
Laiatu Latu,IND,393,15,16,15,31,4.0,23,5,1,0,0,0,0,3,1,0
Jaylon Carlies,IND,393,8,20,11,31,1.0,8,2,1,0,0,0,0,0,0,0
Preston Smith,PIT/GB,399,16,11,19,30,3.5,22,4,0,0,0,0,0,0,0,0
Maliek Collins,SF,399,15,18,12,30,5.0,37,4,0,0,0,0,0,0,2,0
Eddie Jackson,BAL,399,9,18,12,30,0.0,0,1,1,0,0,0,0,0,0,0
Nick Scott,CAR,399,8,16,14,30,0.0,0,0,2,0,0,0,0,0,0,0
Da'Shawn Hand,MIA,399,15,20,10,30,1.0,5,5,1,0,0,0,0,1,0,0
J.J. Russell,TB,399,14,18,12,30,0.0,0,0,1,0,0,0,0,0,1,0
Isaiah McGuire,CLE,399,14,14,16,30,1.5,23,6,0,0,0,0,0,3,0,0
Dell Pettus,NE,399,15,16,14,30,1.0,7,1,1,0,0,0,0,0,0,0
Dee Winters,SF,399,13,20,10,30,0.0,0,0,4,0,0,0,0,0,0,0
Decamerion Richardson,LV,399,10,19,11,30,0.0,0,1,2,0,0,0,0,0,0,0
Tavius Robinson,BAL,399,15,12,18,30,3.5,17,4,1,0,0,0,0,0,0,0
Mario Edwards Jr.,HOU,410,11,11,18,29,2.0,18,2,2,0,0,0,0,0,2,0
Amani Oruwariye,DAL,410,7,23,6,29,0.0,0,1,3,1,0,0,0,0,0,0
Lorenzo Carter,ATL,410,11,20,9,29,0.0,0,1,0,0,0,0,0,1,0,0
Montez Sweat,CHI,410,14,17,12,29,4.5,30,8,2,0,0,0,0,1,0,0
Tim Settle Jr.,HOU,410,15,23,6,29,5.0,41,10,0,0,0,0,0,0,1,0
Devon Key,DEN,410,15,14,15,29,1.0,0,0,0,0,0,0,0,0,0,0
Darnay Holmes,LV,410,15,14,15,29,1.0,8,2,3,0,0,0,0,0,0,0
Keeanu Benton,PIT,410,15,12,17,29,0.0,0,1,6,1,11,11,0,0,1,0
Sam Okuayinonu,SF,410,14,21,8,29,3.0,15,5,1,0,0,0,0,1,0,0
DJ Turner II,CIN,410,11,24,5,29,0.0,0,1,8,0,0,0,0,0,0,0
Nate Wiggins,BAL,410,13,21,8,29,0.0,0,0,11,0,0,0,0,1,0,0
Lukas Van Ness,GB,410,14,20,9,29,3.0,6,6,0,0,0,0,0,1,1,0
Johnathan Hankins,SEA,422,15,14,14,28,1.0,8,5,1,1,0,0,0,0,0,0
Levi Wallace,DEN,422,13,20,8,28,0.0,0,0,2,0,0,0,0,0,0,0
K'Lavon Chaisson,LV,422,13,16,12,28,4.0,29,6,2,1,0,0,0,0,0,0
Dayo Odeyingbo,IND,422,15,13,15,28,3.0,20,7,0,0,0,0,0,2,1,0
DaRon Bland,DAL,422,5,18,10,28,0.0,0,0,4,0,0,0,0,1,1,0
Claudin Cherelus,CAR,422,13,13,15,28,0.0,0,0,0,0,0,0,0,0,0,0
Damone Clark,DAL,422,13,16,12,28,0.5,4,1,1,0,0,0,0,0,0,0
Azeez Ojulari,NYG,422,11,12,16,28,6.0,31,7,0,0,0,0,0,0,1,0
Kris Jenkins Jr.,CIN,422,13,10,18,28,3.0,15,3,0,0,0,0,0,0,0,0
Joshua Williams,KC,422,15,17,11,28,1.0,12,2,3,0,0,0,0,0,0,0
Chris Board,BAL,432,15,15,12,27,0.0,0,1,0,0,0,0,0,0,0,0
Jerry Tillery,MIN,432,15,12,15,27,0.0,0,1,2,0,0,0,0,0,0,0
D.J. Wonnum,CAR,432,6,15,12,27,4.0,30,4,1,0,0,0,0,1,0,0
Roy Lopez,ARI,432,14,10,17,27,1.0,10,4,3,0,0,0,0,1,1,0
Talanoa Hufanga,SF,432,5,11,16,27,0.0,0,1,0,0,0,0,0,0,0,0
Greg Newsome II,CLE,432,13,24,3,27,0.0,0,0,5,1,-2,-2,0,0,0,0
Caelen Carson,DAL,432,6,24,3,27,0.0,0,0,4,0,0,0,0,0,0,0
Owen Pappoe,ARI,432,14,18,9,27,0.0,0,0,2,0,0,0,0,1,0,0
Anfernee Orji,NO,432,14,15,12,27,0.0,0,2,0,0,0,0,0,0,0,0
Bud Dupree,LAC,441,15,17,9,26,6.0,30,6,2,1,0,0,0,1,0,0
Arik Armstead,JAX,441,15,21,5,26,2.0,11,3,1,0,0,0,0,0,0,0
Deatrich Wise Jr.,NE,441,13,15,11,26,5.0,26,5,3,0,0,0,0,0,0,0
L.J. Collier,ARI,441,15,10,16,26,3.5,19,4,1,0,0,0,0,0,1,0
Ashtyn Davis,NYJ,441,13,17,9,26,0.0,0,3,0,0,0,0,0,0,0,0
Tershawn Wharton,KC,441,15,17,9,26,5.5,37,6,2,0,0,0,0,1,0,0
Will McDonald IV,NYJ,441,15,17,9,26,10.0,68,10,2,0,0,0,0,2,1,0
Jonah Laulu,LV,441,15,12,14,26,1.0,10,2,3,0,0,0,0,0,0,0
Teair Tart,LAC,441,15,14,12,26,1.0,11,5,2,1,4,4,0,1,1,0
Tyler Davis,LAR,441,14,12,14,26,0.5,2,2,0,0,0,0,0,0,0,0
Jakorian Bennett,LV,441,10,15,11,26,0.0,0,0,8,0,0,0,0,0,0,0
Cameron Jordan,NO,452,14,11,14,25,3.0,16,3,4,1,0,0,0,0,0,0
Morgan Fox,LAC,452,15,19,6,25,3.5,27,4,1,0,0,0,0,0,0,0
Solomon Thomas,NYJ,452,14,14,11,25,3.5,17,4,1,0,0,0,0,1,0,0
Dre'Mont Jones,SEA,452,15,13,12,25,4.0,35,7,1,0,0,0,0,1,0,0
Chazz Surratt,NYJ,452,15,17,8,25,0.0,0,2,0,0,0,0,0,0,0,0
Ed Oliver,BUF,452,13,11,14,25,2.0,11,2,0,0,0,0,0,2,0,0
T.J. Slaton,GB,452,14,11,14,25,1.0,1,1,0,0,0,0,0,0,0,0
Chase Young,NO,452,14,16,9,25,5.5,30,8,2,0,0,0,0,1,0,0
Willie Gay,NO,452,13,18,7,25,2.0,8,2,3,0,0,0,0,1,2,0
Alim McNeill,DET,452,14,17,8,25,3.5,29,7,1,0,0,0,0,1,0,0
Tyler Lacy,JAX,452,13,10,15,25,0.0,0,2,0,0,0,0,0,0,0,0
Dax Hill,CIN,452,5,20,5,25,1.0,1,1,2,0,0,0,0,0,0,0
Storm Duck,MIA,452,12,17,8,25,0.0,0,1,2,0,0,0,0,0,0,0
Mike Pennel Jr.,KC,465,15,10,14,24,3.0,6,3,0,0,0,0,0,1,0,0
Folorunso Fatukasi,HOU,465,11,16,8,24,1.0,2,4,0,0,0,0,0,0,0,0
Adoree' Jackson,NYG,465,12,15,9,24,0.0,0,1,4,0,0,0,0,1,1,0
James Smith-Williams,ATL,465,10,12,12,24,1.0,6,7,0,0,0,0,0,0,0,0
Darrell Taylor,CHI,465,14,17,7,24,2.0,18,2,2,0,0,0,0,1,0,0
Quinton Bell,MIA,465,15,14,10,24,1.0,9,3,1,0,0,0,0,1,0,0
Levi Onwuzurike,DET,465,14,13,11,24,1.5,7,1,0,0,0,0,0,1,0,0
Naquan Jones,ARI,465,10,9,15,24,3.0,21,3,2,0,0,0,0,0,0,0
Calijah Kancey,TB,465,10,20,4,24,6.5,41,10,0,0,0,0,0,1,1,0
Junior Colson,LAC,465,9,13,11,24,0.0,0,0,1,0,0,0,0,0,0,0
Jeremiah Pharms Jr.,NE,465,14,13,11,24,2.0,5,4,0,0,0,0,0,0,0,0
Sheldon Day,WSH,476,10,12,11,23,0.0,0,2,1,0,0,0,0,0,0,0
Dalvin Tomlinson,CLE,476,15,12,11,23,3.0,24,5,0,0,0,0,0,0,0,0
J.T. Gray,NO,476,14,12,11,23,0.0,0,0,0,0,0,0,0,1,0,0
Ahkello Witherspoon,LAR,476,11,19,4,23,0.0,0,0,6,0,0,0,0,0,0,0
Clelin Ferrell,WSH,476,12,11,12,23,3.5,21,4,0,0,0,0,0,1,0,0
Jake Hansen,HOU,476,14,14,9,23,1.0,0,1,0,0,0,0,0,0,0,0
L'Jarius Sneed,TEN,476,5,19,4,23,0.0,0,2,0,0,0,0,0,0,0,0
Isaiah Rodgers,PHI,476,13,16,7,23,0.0,0,0,3,0,0,0,0,1,0,0
Michael Carter II,NYJ,476,12,20,3,23,0.0,0,1,1,0,0,0,0,0,1,0
Tre Brown,SEA,476,11,19,4,23,0.0,0,0,1,0,0,0,0,0,0,0
D.J. Davidson,NYG,476,12,12,11,23,2.0,17,2,0,0,0,0,0,0,2,0
Joe Tryon-Shoyinka,TB,476,13,14,9,23,2.0,20,3,2,0,0,0,0,1,0,0
Logan Hall,TB,476,14,14,9,23,4.5,30,4,1,0,0,0,0,0,1,0
Tyree Wilson,LV,476,14,15,8,23,4.0,31,6,0,0,0,0,0,1,0,0
Zach Harrison,ATL,476,15,5,18,23,1.0,2,3,2,0,0,0,0,0,0,0
Carrington Valentine,GB,476,12,10,13,23,0.0,0,0,4,1,20,20,0,0,0,0
DaQuan Jones,BUF,492,15,11,11,22,2.0,10,5,1,0,0,0,0,0,0,0
Ogbo Okoronkwo,CLE,492,15,14,8,22,3.0,26,5,0,0,0,0,0,1,0,0
Ben Niemann,DET,492,15,10,12,22,0.0,0,0,1,0,0,0,0,0,1,0
Ja'Sir Taylor,LAC,492,13,12,10,22,0.0,0,1,5,0,0,0,0,0,1,0
Josh Hayes,TB,492,13,12,10,22,0.0,0,0,3,0,0,0,0,0,1,0
Tristin McCollum,PHI,492,12,15,7,22,0.0,0,0,2,0,0,0,0,0,0,0
James Pierre,PIT,492,13,16,6,22,0.0,0,0,2,1,18,18,0,2,0,0
Dennis Gardeck,ARI,492,7,17,5,22,3.0,19,6,2,1,10,10,0,1,0,0
Kayvon Thibodeaux,NYG,492,10,12,10,22,3.0,27,6,1,0,0,0,0,0,0,0
SirVocea Dennis,TB,492,4,14,8,22,1.0,13,1,0,0,0,0,0,0,0,0
Chop Robinson,MIA,492,15,13,9,22,6.0,43,7,4,0,0,0,0,0,0,0
Leonard Taylor III,NYJ,492,12,11,11,22,1.5,9,4,1,0,0,0,0,0,0,0
Thomas Harper,LV,492,13,11,11,22,0.0,0,0,1,0,0,0,0,0,1,0
Evan Anderson,SF,492,10,11,11,22,1.0,2,2,0,0,0,0,0,1,1,0
Nick Bellore,WSH,506,14,11,10,21,0.0,0,1,0,0,0,0,0,0,0,0
Joey Bosa,LAC,506,12,16,5,21,5.0,24,5,0,0,0,0,0,2,0,0
Charles Harris,CAR/PHI,506,12,15,6,21,3.0,18,4,0,0,0,0,0,0,0,0
Byron Cowart,CHI,506,13,11,10,21,0.5,1,3,0,0,0,0,0,0,0,0
Josh Butler,DAL,506,5,17,4,21,1.0,0,0,5,0,0,0,0,0,0,0
Nick Niemann,LAC,506,11,11,10,21,0.0,0,0,1,0,0,0,0,0,0,0
Mykal Walker,WSH,506,15,8,13,21,0.0,0,0,0,0,0,0,0,0,1,0
Jesse Luketa,ARI,506,10,12,9,21,3.0,19,4,0,0,0,0,0,1,0,0
Jordan Davis,PHI,506,15,12,9,21,1.0,12,2,2,0,0,0,0,0,0,0
Christian Roland-Wallace,KC,506,15,14,7,21,0.0,0,2,1,1,0,0,0,1,0,0
Bryan Bresee,NO,506,14,14,7,21,7.5,41,7,3,0,0,0,0,1,0,0
Kaiir Elam,BUF,506,12,14,7,21,0.0,0,2,2,0,0,0,0,0,1,0
Felix Anudike-Uzomah,KC,506,15,12,9,21,1.5,4,4,0,0,0,0,0,1,1,0
Brandon Graham,PHI,519,11,15,5,20,3.5,27,6,2,0,0,0,0,1,0,0
Tony Jefferson,LAC,519,6,12,8,20,0.0,0,0,0,0,0,0,0,0,0,0
Nick Vigil,DAL,519,14,9,11,20,0.0,0,0,0,0,0,0,0,0,0,0
Tyquan Lewis,IND,519,8,12,8,20,1.5,10,2,0,0,0,0,0,1,0,0
Derek Barnett,HOU,519,14,12,8,20,4.0,17,2,0,0,0,0,0,2,1,1
Nick McCloud,SF/NYG,519,13,12,8,20,0.0,0,1,1,0,0,0,0,0,0,0
Milton Williams,PHI,519,15,10,10,20,5.0,36,7,1,0,0,0,0,1,1,0
Josh Paschal,DET,519,12,14,6,20,2.0,21,5,0,0,0,0,0,0,1,0
Myles Murphy,CIN,519,11,11,9,20,0.0,0,1,1,0,0,0,0,0,0,0
Nick Herbig,PIT,519,11,12,8,20,4.5,30,4,0,0,0,0,0,4,2,0
James Williams,TEN,519,11,14,6,20,0.0,0,0,0,0,0,0,0,0,0,0
Austin Booker,CHI,519,15,14,6,20,1.5,3,3,0,0,0,0,0,0,0,0
Jaden Hicks,KC,519,15,16,4,20,0.0,0,2,3,3,50,47,0,0,0,0
Roy Robertson-Harris,SEA/JAX,532,15,10,9,19,2.0,11,4,1,0,0,0,0,0,0,0
Austin Johnson,BUF,532,14,7,12,19,0.5,0,0,2,2,9,5,0,0,0,0
Nick Thurman,CAR,532,9,6,13,19,0.0,0,1,0,0,0,0,0,0,0,0
Tre'Davious White,BAL/LAR,532,9,14,5,19,0.0,0,0,5,0,0,0,0,0,0,0
Marcus Epps,LV,532,3,16,3,19,0.0,0,2,0,0,0,0,0,0,0,0
Payton Turner,NO,532,13,9,10,19,2.0,16,3,4,0,0,0,0,2,0,0
Khyiris Tonga,ARI,532,11,6,13,19,0.0,0,0,0,0,0,0,0,0,0,0
Josh Newton,CIN,532,15,17,2,19,0.0,0,0,6,1,12,12,0,0,0,0
Aidan Hutchinson,DET,532,5,12,7,19,7.5,55,7,0,0,0,0,0,1,0,0
Zacch Pickens,CHI,532,9,8,11,19,1.0,7,1,0,0,0,0,0,0,0,0
Dondrea Tillman,DEN,532,10,10,9,19,4.0,34,4,0,0,0,0,0,0,0,0
Brent Urban,BAL,543,11,8,10,18,0.0,0,0,2,0,0,0,0,0,0,0
Sheldon Rankins,CIN,543,7,10,8,18,1.0,7,1,0,0,0,0,0,0,0,0
DJ Reader,DET,543,13,10,8,18,3.0,19,4,1,0,0,0,0,0,0,0
Kamu Grugier-Hill,MIN,543,15,11,7,18,0.0,0,0,3,2,5,5,0,0,0,0
Jeremy Reaves,WSH,543,15,8,10,18,0.0,0,0,0,0,0,0,0,1,0,0
Johnathan Abram,NO,543,3,10,8,18,0.0,0,0,2,1,30,30,0,0,0,0
Neville Gallimore,LAR,543,12,6,12,18,0.0,0,0,0,0,0,0,0,0,0,0
Broderick Washington,BAL,543,13,8,10,18,2.0,10,1,2,0,0,0,0,1,0,0
Chris Williams,CHI,543,15,16,2,18,3.0,26,3,0,0,0,0,0,0,0,0
Benito Jones,MIA,543,15,8,10,18,0.0,0,3,0,0,0,0,0,0,0,0
Ja'Marcus Ingram,BUF,543,15,13,5,18,1.0,8,1,4,2,56,31,1,0,0,0
Jamin Davis,MIN/WSH,543,9,12,6,18,1.0,6,2,0,0,0,0,0,0,0,0
Baron Browning,ARI/DEN,543,11,10,8,18,2.0,7,5,0,0,0,0,0,0,0,0
Winston Reid,CLE,543,14,10,8,18,0.5,3,1,2,0,0,0,0,0,1,0
Yetur Gross-Matos,SF,543,9,13,5,18,4.0,24,5,0,0,0,0,0,0,0,0
Yasir Abdullah,JAX,543,12,14,4,18,0.0,0,0,0,0,0,0,0,0,0,0
Devonte Wyatt,GB,543,11,13,5,18,4.0,25,7,0,0,0,0,0,0,2,0
JD Bertrand,ATL,543,11,13,5,18,0.0,0,0,0,0,0,0,0,0,0,0
Cedric Gray,TEN,543,5,12,6,18,0.0,0,0,0,0,0,0,0,0,0,0
Dallas Turner,MIN,543,14,10,8,18,2.0,13,2,1,1,4,4,0,0,0,0
Cameron Mitchell,CLE,543,15,13,5,18,0.0,0,1,1,0,0,0,0,0,0,0
Trevor Nowaske,DET,543,12,12,6,18,2.0,8,2,1,1,8,8,0,0,0,0
Linval Joseph,DAL,565,15,7,10,17,2.0,20,2,0,0,0,0,0,1,0,0
C.J. Mosley,NYJ,565,4,13,4,17,0.0,0,0,0,0,0,0,0,0,0,0
Michael Pierce,BAL,565,9,6,11,17,2.0,16,1,1,0,0,0,0,0,0,0
Chidobe Awuzie,TEN,565,6,10,7,17,0.0,0,0,3,1,8,8,0,0,0,0
Taven Bryan,IND,565,15,10,7,17,1.0,7,3,1,0,0,0,0,0,1,0
Christian Wilkins,LV,565,5,11,6,17,2.0,15,2,0,0,0,0,0,0,0,0
Luke Masterson,LV,565,4,10,7,17,0.0,0,0,0,0,0,0,0,0,0,0
Marco Wilson,CIN/NE,565,14,10,7,17,0.0,0,0,2,0,0,0,0,0,0,0
Zach Carter,LV/CIN,565,10,10,7,17,1.5,1,0,0,0,0,0,0,0,0,0
Phidarian Mathis,WSH,565,12,8,9,17,0.0,0,2,1,0,0,0,0,0,0,0
Robert Beal Jr.,SF,565,14,11,6,17,0.0,0,0,0,0,0,0,0,0,0,0
Terell Smith,CHI,565,12,13,4,17,0.0,0,0,3,1,23,23,0,0,0,0
Karl Brooks,GB,565,14,9,8,17,2.5,18,2,1,0,0,0,0,1,2,0
Otis Reese IV,TEN,565,13,8,9,17,0.0,0,1,1,1,2,2,0,0,0,0
Chris Braswell,TB,565,15,10,7,17,0.5,5,0,0,0,0,0,0,0,0,0
Jaquelin Roy,NE,565,6,12,5,17,2.0,12,3,0,0,0,0,0,0,0,0
Maurice Hurst II,CLE,581,8,9,7,16,0.5,3,4,0,0,0,0,0,0,0,0
George Odum,SF,581,12,14,2,16,0.0,0,0,4,0,0,0,0,0,0,0
Oren Burks,PHI,581,15,10,6,16,0.0,0,0,1,0,0,0,0,1,0,0
Jaire Alexander,GB,581,7,15,1,16,0.0,0,0,7,2,52,35,1,0,1,0
Dane Jackson,CAR,581,7,12,4,16,0.0,0,1,1,0,0,0,0,0,0,0
Isaiah Simmons,NYG,581,15,11,5,16,0.0,0,0,1,0,0,0,0,1,0,0
Isaiahh Loudermilk,PIT,581,15,10,6,16,0.0,0,0,1,0,0,0,0,0,0,0
Jordan Elliott,SF,581,13,12,4,16,0.0,0,2,0,0,0,0,0,0,0,0
Tommy Togiai,HOU,581,6,6,10,16,1.0,9,2,2,0,0,0,0,0,0,0
Israel Mukuamu,DAL,581,15,11,5,16,0.0,0,0,2,2,20,15,0,0,0,0
Cam Smith,MIA,581,6,13,3,16,0.0,0,0,0,0,0,0,0,0,0,0
