Player,Position,Team,College
Andrew Billings,DT,Chicago,Baylor
Beanie Bishop,DB,Pittsburgh,West Virginia
Cole Bishop,DB,Buffalo,Utah
Joel Bitonio,OG,Cleveland,Nevada
Tarik Black,WR,Miami,Texas
Ross Blacklock,DT,NY Giants,Texas Christian
Julian Blackmon,DB,Indianapolis,Utah
Mekhi Blackmon,DB,Minnesota,Southern California
Raheem Blackshear,RB,Carolina,Virginia Tech
Angelo Blackson,DT,Arizona,Auburn
Josh Blackwell,DB,Chicago,Duke
Chris Blair,WR,Atlanta,Alcorn State
DaRon Bland,DB,Dallas,Fresno State
Reed Blankenship,DB,Philadelphia,Middle Tennessee State
Khari Blasingame,RB,Philadelphia,Vanderbilt
Joey Blount,DB,Arizona,Virginia
Chris Board,LB,Baltimore,North Dakota State
Jacob Bobenmoyer,LS,Las Vegas,Northern Colorado
Jake Bobo,WR,Seattle,UCLA
Quinton Bohanna,DT,Seattle,Kentucky
Corey Bojorquez,P,Cleveland,New Mexico
Isaiah Bolden,DB,New England,Jackson State
Garett Bolles,OT,Denver,Utah
Curtis Bolton,LB,Tennessee,Oklahoma
Nick Bolton,LB,Kansas City,Missouri
Nik Bonitto,LB,Denver,Oklahoma
Ethan Bonner,DB,Miami,Stanford
Austin Booker,DE,Chicago,Kansas
Thomas Booker,DT,Philadelphia,Stanford
Mike Boone,RB,Carolina,Cincinnati
Andrew Booth,DB,Dallas,Clemson
Dicaprio Bootle,DB,LA Chargers,Nebraska
Larry Borom,OT,Chicago,Missouri
Tanor Bortolini,OG,Indianapolis,Wisconsin
Joey Bosa,LB,LA Chargers,Ohio State
Nick Bosa,DE,San Francisco,Ohio State
Earl Bostick,OT,Dallas,Kansas
Chris Boswell,K,Pittsburgh,Rice
Kendrick Bourne,WR,New England,Eastern Washington
Kayshon Boutte,WR,New England,Louisiana State
Brandon Bouyer-Randle,LB,Cleveland,Connecticut
Brock Bowers,TE,Las Vegas,Georgia
Shawn Bowman,TE,Jacksonville,Rutgers
Tyus Bowser,LB,Miami,Houston
Khristian Boyd,DT,New Orleans,Northern Iowa
Kris Boyd,DB,Houston,Texas
Tyler Boyd,WR,Tennessee,Pittsburgh
Ekow Boye-Doe,DB,NY Giants,Kansas State
Miles Boykin,WR,Seattle,Notre Dame
Tim Boyle,QB,NY Giants,Eastern Kentucky
Bradley Bozeman,C,LA Chargers,Alabama
Swayze Bozeman,LB,Kansas City,Southern Mississippi
James Bradberry,DB,Philadelphia,Samford
Garrett Bradbury,C,Minnesota,North Carolina State
Beau Brade,DB,Baltimore,Maryland
Anthony Bradford,OG,Seattle,Louisiana State
Nook Bradford,DB,New Orleans,Texas Christian
Carter Bradley,QB,Las Vegas,South Alabama
William Bradley-King,DE,Miami,Baylor
Brian Branch,DB,Detroit,Alabama
Blake Brandel,OG,Minnesota,Oregon State
Chris Braswell,LB,Tampa Bay,Alabama
Christian Braswell,DB,Jacksonville,Rutgers
Ben Bredeson,OG,Tampa Bay,Michigan
Jake Brendel,C,San Francisco,UCLA
Julius Brents,DB,Indianapolis,Kansas State
Bryan Bresee,DT,New Orleans,Clemson
Aaron Brewer,LS,Arizona,San Diego State
Aaron Brewer,OG,Miami,Texas State
C.J. Brewer,DT,Tampa Bay,Coastal Carolina
Chandler Brewer,OT,Tennessee,Middle Tennessee State
Jowon Briggs,DT,Cleveland,Cincinnati
Gary Brightwell,RB,Cincinnati,Arizona
Jaquan Brisker,DB,Chicago,Penn State
Jacoby Brissett,QB,New England,North Carolina State
K.J. Britt,LB,Tampa Bay,Auburn
Nick Broeker,OG,Houston,Mississippi
British Brooks,RB,Houston,North Carolina
Christopher Brooks,RB,Green Bay,Brigham Young
Jalen Brooks,WR,Dallas,South Carolina
Jonathon Brooks,RB,Carolina,Texas
Jordyn Brooks,LB,Miami,Texas Tech
Karl Brooks,DE,Green Bay,Bowling Green
Kendell Brooks,DB,Tennessee,Michigan State
Mason Brooks,OG,Indianapolis,Mississippi
Nate Brooks,DB,Cincinnati,North Texas
Natrone Brooks,DB,Atlanta,Southern Mississippi
A.J. Brown,WR,Philadelphia,Mississippi
Anthony Brown,QB,Arizona,Oregon
Ben Brown,C,New England,Mississippi
Bobby Brown,DT,LA Rams,Texas A&M
Brittain Brown,RB,Seattle,UCLA
Cam Brown,LB,Miami,Penn State
Chase Brown,RB,Cincinnati,Illinois
Derrick Brown,DE,Carolina,Auburn
Dyami Brown,WR,Washington,North Carolina
Earnest Brown,DE,Tampa Bay,Northwestern
Evan Brown,C,Arizona,Southern Methodist
Ji'Ayir Brown,DB,San Francisco,Penn State
Marquise Brown,WR,Kansas City,Oklahoma
Mike Brown,DB,Tennessee,Miami (OH)
Montaric Brown,DB,Jacksonville,Arkansas
Noah Brown,WR,Washington,Ohio State
Omar Brown,DB,Green Bay,Nebraska
Orlando Brown,OT,Cincinnati,Oklahoma
Pharaoh Brown,TE,Seattle,Oregon
Shakel Brown,DT,Miami,Troy State
Spencer Brown,OT,Buffalo,Northern Iowa
Sydney Brown,DB,Philadelphia,Illinois
Tony Brown,DB,Cleveland,Alabama
Tre Brown,DB,Seattle,Oklahoma
Trenton Brown,OT,Cincinnati,Florida
Baron Browning,LB,Arizona,Ohio State
Jack Browning,P,Tampa Bay,San Diego State
Jake Browning,QB,Cincinnati,Washington
Jarvis Brownlee,DB,Tennessee,Louisville
Jason Brownlee,WR,NY Jets,Southern Mississippi
Daniel Brunskill,OG,Tennessee,San Diego State
Logan Bruss,OG,Tennessee,Wisconsin
Taven Bryan,DT,Indianapolis,Florida
Coby Bryant,DB,Seattle,Cincinnati
Harrison Bryant,TE,Las Vegas,Florida Atlantic
Myles Bryant,DB,Houston,Washington
DeForest Buckner,DT,Indianapolis,Oregon
Shane Buechele,QB,Buffalo,Southern Methodist
Javon Bullard,DB,Green Bay,Georgia
Jonathan Bullard,DE,Minnesota,Florida
Calen Bullock,DB,Houston,Southern California
Corey Bullock,OT,Baltimore,Maryland
Spencer Burford,OT,San Francisco,Texas-San Antonio
Cole Burgess,WR,Cincinnati,Cortland State
Oren Burks,LB,Philadelphia,Vanderbilt
Treylon Burks,WR,Tennessee,Arkansas
Amari Burney,LB,Las Vegas,Florida
Artie Burns,DB,Seattle,Miami
Brian Burns,LB,NY Giants,Florida State
Robert Burns,RB,Atlanta,Connecticut
Joe Burrow,QB,Cincinnati,Louisiana State
Jermaine Burton,WR,Cincinnati,Alabama
Michael Burton,RB,Denver,Rutgers
Deon Bush,DB,Kansas City,Miami
Devin Bush,LB,Cleveland,Michigan
Harrison Butker,K,Kansas City,Georgia Tech
Adam Butler,DT,Las Vegas,Vanderbilt
Josh Butler,DB,Dallas,Michigan State
Matthew Butler,DT,Las Vegas,Tennessee
Percy Butler,DB,Washington,Louisiana-Lafayette
Kevin Byard,DB,Chicago,Middle Tennessee State
Camryn Bynum,DB,Minnesota,California
Henry Byrd,OG,Minnesota,Princeton
Solomon Byrd,DE,Houston,Southern California
Grant Calcaterra,TE,Philadelphia,Southern Methodist
Mike Caliendo,OG,Kansas City,Western Michigan
Marquez Callaway,WR,Tampa Bay,Tennessee
Calais Campbell,DT,Miami,Miami
Chance Campbell,LB,Tennessee,Mississippi
De'Vondre Campbell,LB,San Francisco,Minnesota
Elijah Campbell,DB,Miami,Northern Iowa
Jack Campbell,LB,Detroit,Iowa
Parris Campbell,WR,Philadelphia,Ohio State
Tyson Campbell,DB,Jacksonville,Georgia
Alex Cappa,OG,Cincinnati,Humboldt State
Joe Cardona,LS,New England,Navy
Jaylon Carlies,LB,Indianapolis,Missouri
Anders Carlson,K,NY Jets,Auburn
Daniel Carlson,K,Las Vegas,Auburn
Stephen Carlson,TE,Chicago,Princeton
Jackson Carman,OT,Miami,Clemson
Derek Carr,QB,New Orleans,Fresno State
Caelen Carson,DB,Dallas,Wake Forest
Andre Carter,DE,Las Vegas,Army
DeAndre Carter,WR,Chicago,Sacramento State
DeWayne Carter,DT,Buffalo,Duke
Ja'Tyre Carter,OG,Carolina,Southern
Jalen Carter,DT,Philadelphia,Georgia
Lorenzo Carter,LB,Atlanta,Georgia
Michael Carter,RB,Arizona,North Carolina
Michael Carter,DB,NY Jets,Duke
Zachary Carter,DT,Las Vegas,Florida
Jerome Carvin,OG,Jacksonville,Tennessee
Blake Cashman,LB,Minnesota,Minnesota
McCallan Castles,TE,LA Chargers,Tennessee
Tariq Castro-Fields,DB,Philadelphia,Penn State
Joshua Cephus,WR,Jacksonville,Texas-San Antonio
Quintez Cephus,WR,LA Rams,Wisconsin
Andre Chachere,DB,Arizona,San Jose State
K'Lavon Chaisson,DE,Las Vegas,Louisiana State
Ty Chandler,RB,Minnesota,North Carolina
Zach Charbonnet,RB,Seattle,UCLA
D.J. Chark,WR,LA Chargers,Louisiana State
Irvin Charles,WR,NY Jets,Indiana (PA)
Ja'Marr Chase,WR,Cincinnati,Louisiana State
Elijah Chatman,DT,NY Giants,Southern Methodist
Leo Chenal,LB,Kansas City,Wisconsin
Claudin Cherelus,LB,Carolina,Alcorn State
Julius Chestnut,RB,Tennessee,Sacred Heart
Jeremy Chinn,DB,Washington,Southern Illinois
Dan Chisena,WR,Carolina,Penn State
Brady Christensen,OG,Carolina,Brigham Young
Geron Christian,OT,Cleveland,Louisville
Cole Christiansen,LB,Kansas City,Army
Bradley Chubb,LB,Miami,North Carolina State
Nick Chubb,RB,Cleveland,Georgia
Jimmy Ciarlo,LB,NY Jets,Army
Matthew Cindric,C,NY Jets,California
Lewis Cine,DB,Buffalo,Georgia
Andre Cisco,DB,Jacksonville,Syracuse
William Clapp,C,Buffalo,Louisiana State
Chuck Clark,DB,NY Jets,Virginia Tech
Damone Clark,LB,Dallas,Louisiana State
Kei'Trel Clark,DB,Arizona,Louisville
Kenny Clark,DT,Green Bay,UCLA
Le'Raven Clark,OT,Philadelphia,Texas Tech
Travis Clayton,OT,Buffalo,--
Micheal Clemons,DE,NY Jets,Texas A&M
Ben Cleveland,OG,Baltimore,Georgia
Ezra Cleveland,OG,Jacksonville,Boise State
Sean Clifford,QB,Green Bay,Penn State
Jadeveon Clowney,LB,Carolina,South Carolina
K.J. Cloyd,LB,Denver,Miami
Keondre Coburn,DT,Tennessee,Texas
Devin Cochran,OT,Cincinnati,Georgia Tech
Jack Cochrane,LB,Kansas City,South Dakota
Brandon Codrington,DB,Buffalo,North Carolina Central
Javion Cohen,OG,Cleveland,Miami
Andrew Coker,OT,Cincinnati,Texas Christian
Jalen Coker,WR,Carolina,Holy Cross
Adrian Colbert,DB,Chicago,Miami
Jordan Colbert,DB,Miami,Rhode Island
A.J. Cole,P,Las Vegas,North Carolina State
Myles Cole,DE,Jacksonville,Texas Tech
Brandon Coleman,OT,Washington,Texas Christian
D.J. Coleman,DE,Jacksonville,Missouri
Douglas Coleman,LB,Chicago,Texas Tech
Keon Coleman,WR,Buffalo,Florida State
Ryan Coll,C,Indianapolis,Richmond
Chris Collier,RB,Las Vegas,Lock Haven
L.J. Collier,DE,Arizona,Texas Christian
Chris Collins,LB,LA Chargers,Minnesota
Maliek Collins,DT,San Francisco,Nebraska
Nico Collins,WR,Houston,Michigan
Zaven Collins,LB,Arizona,Tulsa
Trystan Colon-Castillo,OG,Arizona,Missouri
Junior Colson,LB,LA Chargers,Michigan
John Cominsky,DE,Detroit,Charleston
Jack Conklin,OT,Cleveland,Michigan State
Tyler Conklin,TE,NY Jets,Central Michigan
Chris Conley,WR,San Francisco,Georgia
Chamarri Conner,DB,Kansas City,Virginia Tech
James Conner,RB,Arizona,Pittsburgh
Tanner Conner,TE,Miami,Idaho State
Bryan Cook,DB,Kansas City,Cincinnati
Dalvin Cook,RB,Dallas,Florida State
Dylan Cook,OT,Pittsburgh,Montana
James Cook,RB,Buffalo,Georgia
Logan Cooke,P,Jacksonville,Mississippi State
Brandin Cooks,WR,Dallas,Oregon State
Elijah Cooks,WR,Jacksonville,San Jose State
Amari Cooper,WR,Buffalo,Alabama
Edgerrin Cooper,LB,Green Bay,Texas A&M
Jonathon Cooper,LB,Denver,Ohio State
Ryan Cooper,DB,Seattle,Oregon State
Austin Corbett,OG,Carolina,Nevada
Malachi Corley,WR,NY Jets,Western Kentucky
Blake Corum,RB,LA Rams,Michigan
Samuel Cosmi,OG,Washington,Texas
Lester Cotton,OG,New England,Alabama
Te'Cory Couch,DB,Buffalo,Miami
Carter Coughlin,LB,NY Giants,Minnesota
Kirk Cousins,QB,Atlanta,Michigan State
Britain Covey,WR,Philadelphia,Utah
Byron Cowart,DT,Chicago,Maryland
Jacob Cowing,WR,San Francisco,Arizona
Brenton Cox,LB,Green Bay,Florida
Morgan Cox,LS,Tennessee,Tennessee
River Cracraft,WR,Miami,Washington State
Coy Cronk,OT,Minnesota,Iowa
